track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"...So Addictive (Intro) [feat. Charlene ""Tweet"" Keys]",https://open.spotify.com/track/7ubzDBkeMcZhUesmGXO951,Miss E... So Addictive,https://open.spotify.com/album/20t54K6C80QQH7vbcpfJcP,"Missy Elliott, Charlene ""tweet"" Keys","https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk, https://open.spotify.com/artist/22LMyCTSS0oTa5Facgy8DZ",2023-12-30,54066,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
"1, 2 Step (feat. Missy Elliott)",https://open.spotify.com/track/7uKcScNXuO3MWw6LowBjW1,Goodies,https://open.spotify.com/album/71gUhKYZIWmmjqAHlY4Br3,"Ciara, Missy Elliott","https://open.spotify.com/artist/2NdeV5rLm47xAvogXrYhJX, https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk",2023-12-30,203786,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
"1, 2 Step (feat. Missy Elliott) - Don Candiani Reggaeton Mix - Edit",https://open.spotify.com/track/0987Qvix0si3pA18QvQqHW,"1,2 Step",https://open.spotify.com/album/4ndsffSWxyh2WuQAgQktIY,"Ciara, Missy Elliott","https://open.spotify.com/artist/2NdeV5rLm47xAvogXrYhJX, https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk",2024-11-01,232157,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
"1, 2 Step (Supersonic)",https://open.spotify.com/track/4ndFwD5xjLgJxGExGRoQYd,"1, 2 Step (Supersonic)",https://open.spotify.com/album/6dQitA595pWElnXs7oqWZj,"SIDEPIECE, Lee Foss","https://open.spotify.com/artist/5czbzNZZfWpyFgZyfT3Mkk, https://open.spotify.com/artist/44T94QQEc60Jf7kqGY6Rip",2023-12-30,176640,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
"1, 2 Step - DJ HEARTSTRING Remix",https://open.spotify.com/track/4IhCpufYdnbCIjwWw7tqty,"1, 2 Step (DJ HEARTSTRING Remix)",https://open.spotify.com/album/4hQkp4wrJ62GnxujArUkQ5,"Ciara, DJ HEARTSTRING","https://open.spotify.com/artist/2NdeV5rLm47xAvogXrYhJX, https://open.spotify.com/artist/5tcwaJBUyEdxQxvieuQxU7",2024-11-01,185953,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
125th Street,https://open.spotify.com/track/0xQowxEJXVLwMLgB2wPHbb,4 All The Sistas Around Da World,https://open.spotify.com/album/4DudlpBIcY12s3bML4fw7j,Sista,https://open.spotify.com/artist/5WiIeeO0KE7GBxAACGcYIT,2023-12-30,105493,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
3:30 in the Morning (feat. Missy Elliott),https://open.spotify.com/track/5NtazPlMH1yuHUh777eDqd,Tim's Bio: From The Motion Picture - Life From Da Bassment,https://open.spotify.com/album/5gLs6EP98eVb1ApK3QAnl5,"Timbaland, Missy Elliott","https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ, https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk",2024-10-19,209133,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
3:30 in the Morning (feat. Missy Elliott),https://open.spotify.com/track/5fyrR3ARG2woELPp5EzJjC,Tim's Bio: From The Motion Picture - Life From Da Bassment,https://open.spotify.com/album/5fjcR3LsoVMs4QVJBS3Twb,"Timbaland, Missy Elliott","https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ, https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk",2023-12-30,209133,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
4 My Man (feat. Fantasia),https://open.spotify.com/track/1oMsZBj6wwKRbWKLjY9HwL,The Cookbook,https://open.spotify.com/album/6vV5UrXcfyQD1wu4Qo2I9K,"Missy Elliott, Fantasia","https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk, https://open.spotify.com/artist/7xAcVHPiirnUqfdqo0USb1",2023-12-30,252560,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
4 My People (feat. Eve),https://open.spotify.com/track/3GhuNU58hVUuzKY7LHmFRB,Miss E... So Addictive,https://open.spotify.com/album/20t54K6C80QQH7vbcpfJcP,"Missy Elliott, Eve","https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk, https://open.spotify.com/artist/4d3yvTptO48nOYTPBcPFZC",2023-12-30,289373,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6ZdaKEG7LCXZGLiHuZuJgZ"">Missy Elliott</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Missy Elliott
