track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1 0 0 . m i l ‘ (with Bas),https://open.spotify.com/track/4n6NDfYake476trCjJRNl0,The Off-Season,https://open.spotify.com/album/4JAvwK4APPArjIsOdGoJXX,"J. Cole, Bas","https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5, https://open.spotify.com/artist/70gP6Ry4Uo0Yx6uzPIdaiJ",2023-12-13,163302,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
21,https://open.spotify.com/track/2jiI8bNSDu7UxTtDCOqh3L,130 Mood : TRBL,https://open.spotify.com/album/1MW3txTS49ZGvyLi0fziLU,DEAN,https://open.spotify.com/artist/3eCd0TZrBPm2n9cDG6yWfF,2023-12-13,207129,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
3001,https://open.spotify.com/track/7JRwdwgeTrYkJvwmecrPSW,Might Delete Later,https://open.spotify.com/album/57wh3BpvUF2tmvwoGSjUe3,J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,2024-06-19,157853,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
7 Minute Drill,https://open.spotify.com/track/2mhdhTWqT8RhkTlN2yWZZi,Might Delete Later,https://open.spotify.com/album/57wh3BpvUF2tmvwoGSjUe3,J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,2025-01-01,212213,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
[The Jackie] (with J. Cole & Lil Tjay),https://open.spotify.com/track/2cny5OSTr2976U3o018GoV,[BUMP] Pick Me Up,https://open.spotify.com/album/6zRk8SdWozgrlByoZJkCjM,"Bas, J. Cole, Lil Tjay","https://open.spotify.com/artist/70gP6Ry4Uo0Yx6uzPIdaiJ, https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5, https://open.spotify.com/artist/6jGMq4yGs7aQzuGsMgVgZR",2023-12-13,204434,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
a m a r i,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX,The Off-Season,https://open.spotify.com/album/4JAvwK4APPArjIsOdGoJXX,J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,2023-12-13,148421,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Addresses,https://open.spotify.com/track/3kc5G9gYWIiqrQEHPwTRN2,Trouble Man: Heavy is the Head,https://open.spotify.com/album/5X46pZekTY2dsWuZDpm14m,T.I.,https://open.spotify.com/artist/4OBJLual30L7gRl5UkeRcT,2023-12-13,189493,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Ambition (feat. Meek Mill & Rick Ross),https://open.spotify.com/track/5tZmLjU4vhPlJb12IweZuB,Ambition,https://open.spotify.com/album/0jCVC8ndYYOooEY2YTO1l6,"Wale, Meek Mill, Rick Ross","https://open.spotify.com/artist/67nwj3Y5sZQLl72VNUHEYE, https://open.spotify.com/artist/20sxb77xiYeusSH8cVdatc, https://open.spotify.com/artist/1sBkRIssrMs1AbVkOJbc7a",2023-12-13,302546,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Arrow,https://open.spotify.com/track/6r2H9RQTO0F9fbbsUodbNP,Arrow,https://open.spotify.com/album/7M3glxHrbvFxJNkKytfqi3,The Head And The Heart,https://open.spotify.com/artist/0n94vC3S9c3mb2HyNAOcjg,2025-01-28,194733,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Basic Ordinary Ugly,https://open.spotify.com/track/0AxURtGtBclLeSi3Jy9Z62,Basic Ordinary Ugly,https://open.spotify.com/album/5NnEgD8zjgofmIzCj1ass4,Virgin Miri,https://open.spotify.com/artist/4b9493bfuOM9WoRZU6X3Sm,2023-12-13,152469,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Basic Ordinary Ugly,https://open.spotify.com/track/18qoH5WqtbG3449blLy4mK,Live a Little Die a Lot,https://open.spotify.com/album/777Seg8Mc1blsN0SwnWu9l,Virgin Miri,https://open.spotify.com/artist/4b9493bfuOM9WoRZU6X3Sm,2025-01-26,152469,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Basic Ordinary Ugly,https://open.spotify.com/track/5wblr9dK0iPouvvFTUiImS,Basic Ordinary Ugly,https://open.spotify.com/album/2eXGs6Oj4TMW7gNjhsEY5l,Virgin Miri,https://open.spotify.com/artist/4b9493bfuOM9WoRZU6X3Sm,2023-12-21,152469,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Bayside (feat. 24kGoldn),https://open.spotify.com/track/5BJHS602oaTKgosEBc4NMJ,Free Skizzy Mars,https://open.spotify.com/album/06uilmMkjOIuifxVYJyqwD,"Skizzy Mars, 24kGoldn","https://open.spotify.com/artist/00Z3UDoAQwzvGu13HoAM7J, https://open.spotify.com/artist/6fWVd57NKTalqvmjRd2t8Z",2023-12-13,161090,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Been Gone,https://open.spotify.com/track/7CWvBBYSGmwkteQ5IGg6V5,2U,https://open.spotify.com/album/0pd3q6RmQe1OzAg95pKkmM,Keshia Chanté,https://open.spotify.com/artist/4jTnkOwrJvTSJokhx3guJH,2023-12-13,215653,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Big Lyfe,https://open.spotify.com/track/0H4JxGArtYE3sH3BiW3pMb,Khaza,https://open.spotify.com/album/5ob4kF4KkXFDqC5ysCdCV8,Kevin Gates,https://open.spotify.com/artist/1gPhS1zisyXr5dHTYZyiMe,2023-12-13,240464,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Big S**t Poppin' [Do It],https://open.spotify.com/track/5tEbnKMOMK8LLoOIsEkWRr,T.I. VS T.I.P.,https://open.spotify.com/album/1TrOr46SzyI7z9C6YnMRnM,T.I.,https://open.spotify.com/artist/4OBJLual30L7gRl5UkeRcT,2023-12-13,287373,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Black Out,https://open.spotify.com/track/5oEvEPAkxybmcSiPYyi6dq,Beauty & The Streets,https://open.spotify.com/album/2bw6heGWMS4RGyckFwlCfL,Mýa,https://open.spotify.com/artist/6lHL3ubAMgSasKjNqKb8HF,2023-12-13,208840,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Blem,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt,More Life,https://open.spotify.com/album/1lXY618HWkwYKJWBRYR4MK,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,2023-12-13,216557,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Broke,https://open.spotify.com/track/7A2dius6RtCZDWbJmNe6gQ,All Things Work Together,https://open.spotify.com/album/5DPZqC3ySZkJClCvZlIq6K,Lecrae,https://open.spotify.com/artist/1CFCsEqKrCyvAFKOATQHiW,2023-12-13,179880,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Can’t Decide,https://open.spotify.com/track/7xEVy3xCkmRSbYavgefnsI,Limbo,https://open.spotify.com/album/6a8GwYiEMrXgMvZBvuBXrt,Aminé,https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ,2023-12-13,160236,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
Carried Away,https://open.spotify.com/track/7dA5TuziQNiseDqFTyVWzi,I Used To Know Her,https://open.spotify.com/album/0IMTA2Wz6p8CNZ0MDK2zvg,H.E.R.,https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os,2023-12-13,221973,2023-12-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/68dXiKlXR8OQojuPZd8lz1"">T-Minus</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By T-Minus
