track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
24/7,https://open.spotify.com/track/0e3aRkhcCdkYN62p2PFfD3,Summer Anthems,https://open.spotify.com/album/5sFwkNJZg9vxc9YhiGtxZk,Common Kings,https://open.spotify.com/artist/4j0qbafzqnGf4ARF8tY4VL,2023-12-30,185480,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
3am,https://open.spotify.com/track/0ctOamnBE7fk0A3xBAMxTh,Title (Deluxe),https://open.spotify.com/album/5W98Ab4VvQEuFEE4TIe5fE,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,2023-12-30,185200,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
After You,https://open.spotify.com/track/2QmkjRXbiQ9Jf9SHc9AOSu,The Love Train,https://open.spotify.com/album/0kPe8FDWUOInMERIeolerd,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,2023-12-30,206354,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
Ain't Your Mama,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72,Ain't Your Mama,https://open.spotify.com/album/5Bd99eGJKXoRMnqgqWlWmp,Jennifer Lopez,https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR,2024-01-01,218234,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
Ain't Your Mama,https://open.spotify.com/track/0k7KahE4Rj51sFxHg7gxxQ,Ain't Your Mama (Official Video),https://open.spotify.com/album/3yVtqMGjiItFP4HalyB1T9,Jennifer Lopez,https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR,2023-12-30,308309,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
All About That Bass,https://open.spotify.com/track/5jE48hhRu8E6zBDPRSkEq7,Title (Deluxe),https://open.spotify.com/album/5W98Ab4VvQEuFEE4TIe5fE,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,2023-12-30,187920,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
All About That Bass,https://open.spotify.com/track/7rOoyuKiHXXGxLuVAvZhet,All About That Bass (Official Video),https://open.spotify.com/album/3e4yMJvRX1t50aYMIi0lQk,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,2024-01-02,189888,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
All The Ways,https://open.spotify.com/track/2V7UKe51RYveJXa8Hp3B5Y,The Love Train,https://open.spotify.com/album/0kPe8FDWUOInMERIeolerd,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,2023-12-31,175223,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
All The Ways,https://open.spotify.com/track/4uC5AaTIvPq7bOTAkVQQfG,All The Ways (Official Music Video),https://open.spotify.com/album/42SOkqw6vxrKfl1faYT5So,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,2023-12-30,181525,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
Alright,https://open.spotify.com/track/279YppmOH2QKY8TgaYRWfC,"I Love You, Please Don't Hate Me",https://open.spotify.com/album/2FGOxwdP7MMd4GfVl2Uf7f,"Sam Fischer, Meghan Trainor","https://open.spotify.com/artist/6L1XC7NrmgWRlwAeLJvVtA, https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz",2023-12-30,172536,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/3wlYs23A2Ma5v7mAwIBJsR"">Meghan Trainor</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Meghan Trainor
