track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"1,2,3 dayz up",https://open.spotify.com/track/7yYthdauFfDxLhkWCsFtas,"1,2,3 dayz up",https://open.spotify.com/album/1xaI3XJLvqBsUkB3V8ekZt,"Kim Petras, SOPHIE","https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J, https://open.spotify.com/artist/5a2w2tgpLwv26BYJf2qYwu",2023-12-30,213678,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
<demons>,https://open.spotify.com/track/4YhG0wYSsxcpe3RGeXgj9v,TURN OFF THE LIGHT,https://open.spotify.com/album/6uqXwF2cBNS3V4fw8YM575,Kim Petras,https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J,2023-12-30,117650,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
All I Do Is Cry,https://open.spotify.com/track/3sklSUmaT3ySFic3l6yT1g,Clarity,https://open.spotify.com/album/6c1WrLJYc4Ytl4zqzEpVz2,Kim Petras,https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J,2023-12-30,203894,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
All She Wants (feat. Paris Hilton),https://open.spotify.com/track/5fHSOGdo0f7kQ1utFRsWck,Problématique,https://open.spotify.com/album/4jNUzWbnKjO05E4VtLCHth,"Kim Petras, Paris Hilton","https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J, https://open.spotify.com/artist/1vkJFCwstOoJO7yQ4lTtLK",2023-12-30,232666,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
All The Time,https://open.spotify.com/track/7LN8y3isMIqzZ6sChzFI7S,All The Time,https://open.spotify.com/album/7nzYTAT8hoj4F1zoQr2Zbr,Kim Petras,https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J,2023-12-30,195313,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
Alone (with Nicki Minaj),https://open.spotify.com/track/4sYzLqXJ5PYWiLUcjUrz3i,Feed The Beast,https://open.spotify.com/album/2izzggtAmxtZaKs35JCurA,"Kim Petras, Nicki Minaj","https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J, https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",2023-12-30,185120,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
Another One,https://open.spotify.com/track/6k63UfdOYsPWgwojWyKfwv,Clarity,https://open.spotify.com/album/6c1WrLJYc4Ytl4zqzEpVz2,Kim Petras,https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J,2023-12-30,225244,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
ANYMORE,https://open.spotify.com/track/0zkHabeUZsqXfDX7TzLN0Y,Rock$tar Famou$,https://open.spotify.com/album/2EPksB7E0Je8yBixm5Cutu,"lil aaron, Kim Petras","https://open.spotify.com/artist/3FCYSWNVmpjTCiwzJwbMAC, https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J",2023-12-30,138240,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
BAIT (with BANKS),https://open.spotify.com/track/3XgpYw4TPKiml7WcjQ9vYr,Feed The Beast,https://open.spotify.com/album/2izzggtAmxtZaKs35JCurA,"Kim Petras, BANKS","https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J, https://open.spotify.com/artist/2xe8IXgCTpwHE3eA9hTs4n",2023-12-30,155480,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
Banana Boat,https://open.spotify.com/track/4qJcvEyE1fXcNPAMtvI8Gy,Slut Pop Miami,https://open.spotify.com/album/32hFJhRyYyZF2e3JRkE0bK,Kim Petras,https://open.spotify.com/artist/3Xt3RrJMFv5SZkCfUE8C1J,2024-02-25,141641,2023-12-31,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6z0YyO7RUp5t7ZwkGKApUK"">Kim Petras</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kim Petras
