track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"Almost There - From ""The Princess and the Frog"" / Soundtrack Version",https://open.spotify.com/track/2dlxN435ZY9ruxGYND2Hq0,The Princess and the Frog,https://open.spotify.com/album/6zgvBxOmfWxrQi4Jxxki0P,Anika Noni Rose,https://open.spotify.com/artist/4fqk0Vw0VrIY8O2eWtmQO2,2019-06-09,144426,2023-05-23,,who do you do the work for? 
Cherry Wine - Live,https://open.spotify.com/track/1C042FLYy7rP3MfnkOcnha,Hozier (Expanded Edition),https://open.spotify.com/album/4Pv7m8D82A1Xun7xNCKZjJ,Hozier,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS,2019-06-09,240146,2023-05-23,,who do you do the work for? 
Dirty Computer (feat. Brian Wilson),https://open.spotify.com/track/7nJZ9LplJ3ZAyhQyJCJk0K,Dirty Computer,https://open.spotify.com/album/2PjlaxlMunGOUvcRzlTbtE,"Janelle Monáe, Brian Wilson","https://open.spotify.com/artist/6ueGR6SWhUJfvEhqkvMsVs, https://open.spotify.com/artist/4Q82S0VzF8qlCb4PnSDurj",2019-06-09,119667,2023-05-23,,who do you do the work for? 
Flaming Hot Cheetos,https://open.spotify.com/track/1F6IbA7di42uPc3cff8PXV,Flaming Hot Cheetos,https://open.spotify.com/album/12pkuSY7Cy2sc5Ix0XIYIE,Clairo,https://open.spotify.com/artist/3l0CmX0FuQjFxr8SK7Vqag,2019-06-09,123884,2023-05-23,,who do you do the work for? 
Heretic Pride,https://open.spotify.com/track/3LsPToq3yB7g5IKfw829e1,Heretic Pride,https://open.spotify.com/album/2bkCoiEfZnOQhahtDHvzzv,The Mountain Goats,https://open.spotify.com/artist/3hyGGjxu73JuzBa757H6R5,2019-06-09,222706,2023-05-23,,who do you do the work for? 
Immigrants (We Get The Job Done),https://open.spotify.com/track/0bPREZOF43e3EIu0zdfLBp,The Hamilton Mixtape,https://open.spotify.com/album/5AgsHUKFxr5DApRCmulIqJ,"K'NAAN, Snow Tha Product, Riz Ahmed, Residente","https://open.spotify.com/artist/7pGyQZx9thVa8GxMBeXscB, https://open.spotify.com/artist/3p3jPcp8b7WL9XYj4xlsWj, https://open.spotify.com/artist/5R8TntIOEwJcu4NnhGi8KW, https://open.spotify.com/artist/5GcWBUX00IPuWVGMIRK1sS",2019-06-09,281596,2023-05-23,,who do you do the work for? 
m.A.A.d city,https://open.spotify.com/track/2cDCojn6uIBM6A5xTAbl3H,"good kid, m.A.A.d city (Deluxe)",https://open.spotify.com/album/3DGQ1iZ9XKUQxAUWjfC34w,"Kendrick Lamar, MC Eiht","https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg, https://open.spotify.com/artist/4XqfpACObRB5AsBcUYjL8X",2019-06-09,350120,2023-05-23,,who do you do the work for? 
Moment's Silence (Common Tongue),https://open.spotify.com/track/6F980QL4axcqjJDMaV7Ew8,Nina Cried Power - EP,https://open.spotify.com/album/78o6vcPIRwoph8a3StqaTU,Hozier,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS,2019-06-05,254840,2023-05-23,,who do you do the work for? 
My Shot,https://open.spotify.com/track/4cxvludVmQxryrnx1m9FqL,Hamilton (Original Broadway Cast Recording),https://open.spotify.com/album/1kCHru7uhxBUdzkm4gzRQc,"Lin-Manuel Miranda, Daveed Diggs, Okieriete Onaodowan, Leslie Odom Jr., Original Broadway Cast of Hamilton, Anthony Ramos","https://open.spotify.com/artist/4aXXDj9aZnlshx7mzj3W1N, https://open.spotify.com/artist/3twuAojvYNrlWZpMkxLm3P, https://open.spotify.com/artist/6G3sPhnj4JBCsBVBGvZnkk, https://open.spotify.com/artist/3cR4rhS2hBWqI7rJEBacvN, https://open.spotify.com/artist/3UUJfRbrA2nTbcg4i0MOwu, https://open.spotify.com/artist/660YptcR0hNHJ8iEr1qcse",2019-06-09,333154,2023-05-23,,who do you do the work for? 
Nina Cried Power (feat. Mavis Staples),https://open.spotify.com/track/7wR5r0KYGXBpyWXCdyYs3F,Nina Cried Power - EP,https://open.spotify.com/album/78o6vcPIRwoph8a3StqaTU,"Hozier, Mavis Staples","https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS, https://open.spotify.com/artist/0cTSCsVx04SSht9V6cpKN0",2019-06-09,225213,2023-05-23,,who do you do the work for? 
Peace and Love on the Planet Earth,https://open.spotify.com/track/6Y2VzNDBghZuYv18sr0AYO,"Steven Universe, Vol. 1 (Original Soundtrack)",https://open.spotify.com/album/3fNVnjSRQ3oW4PUIKvrThu,"Steven Universe, Zach Callison, Estelle, Deedee Magno Hall, Michaela Dietz, Shelby Rabara","https://open.spotify.com/artist/4rF7c8zpCKzuSXohs2HIpA, https://open.spotify.com/artist/57YFNq46Xx86nl7ETkd1Ei, https://open.spotify.com/artist/5T0MSzX9RC5NA6gAI6irSn, https://open.spotify.com/artist/5QGswxSXQUHzQoc2r9hVPI, https://open.spotify.com/artist/3MBBCjjwCjbeikYXPswyZc, https://open.spotify.com/artist/6fYhIfhfeVpKztZc4Eqag7",2019-06-09,112198,2023-05-23,,who do you do the work for? 
Poetry by Dead Men,https://open.spotify.com/track/4FR7fPfbZwNFajVLn4Bg4q,Amidst the Chaos,https://open.spotify.com/album/3GhJxHA12jGyBTgTD5zbmt,Sara Bareilles,https://open.spotify.com/artist/2Sqr0DXoaYABbjBo9HaMkM,2019-06-09,228349,2023-05-23,,who do you do the work for? 
See America Right,https://open.spotify.com/track/7hdUxFqRnuX6j1xNu6eQ9B,Tallahassee,https://open.spotify.com/album/2DL7AR6nEM3bhwNy9zHuZa,The Mountain Goats,https://open.spotify.com/artist/3hyGGjxu73JuzBa757H6R5,2019-06-09,112200,2023-05-23,,who do you do the work for? 
Take The Power Back,https://open.spotify.com/track/25CbtOzU8Pn17SAaXFjIR3,Rage Against The Machine - XX (20th Anniversary Special Edition),https://open.spotify.com/album/4Io5vWtmV1rFj4yirKb4y4,Rage Against The Machine,https://open.spotify.com/artist/2d0hyoQ5ynDBnkvAbJKORj,2019-06-09,336440,2023-05-23,,who do you do the work for? 
The Schuyler Sisters,https://open.spotify.com/track/71X7bPDljJHrmEGYCe7kQ8,Hamilton (Original Broadway Cast Recording),https://open.spotify.com/album/1kCHru7uhxBUdzkm4gzRQc,"Renée Elise Goldsberry, Phillipa Soo, Jasmine Cephas-Jones, Leslie Odom Jr., Original Broadway Cast of Hamilton","https://open.spotify.com/artist/5VJN4jB6PqqEg4kJiAj6Eu, https://open.spotify.com/artist/2OEGI2wrCVmvavKEOMlccy, https://open.spotify.com/artist/4H3e5t5utgPvj6Nsuda5QF, https://open.spotify.com/artist/3cR4rhS2hBWqI7rJEBacvN, https://open.spotify.com/artist/3UUJfRbrA2nTbcg4i0MOwu",2019-06-09,186542,2023-05-23,,who do you do the work for? 
