track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/3MjnG4Xw81GU5JX50srgvz,,https://open.spotify.com/album/2WqNxDv6awfT6Il4hiTvDq,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2023-12-15,0,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
( Hello //,https://open.spotify.com/track/1nItUiubDwgwaY6M6YWjhV,Sigils & Glyphs,https://open.spotify.com/album/6HpPl5POiMV15ITUKeuXAR,Heavybird,https://open.spotify.com/artist/6gFsYFUAeguHNFVytwIBV1,2022-07-08,232360,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
(Another) Dead End,https://open.spotify.com/track/3QG9beKxltczVGrwQWkc1B,Behind The Grin,https://open.spotify.com/album/0rphg3sQ1sUP6LUj1kDJj2,Messed Up Trio,https://open.spotify.com/artist/7pEjivoOAP6Sd5D3JILem3,2022-07-08,162893,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
(I Just) Died In Your Arms - Extended Version,https://open.spotify.com/track/4lsv35mAeaVcrJLQcK6zMV,( I Just) Died In Your Arms,https://open.spotify.com/album/5KCqzobG76VBP8od43McJO,"Hertzberg & Funke, Affas","https://open.spotify.com/artist/5ji1XXd4srakGMHk5emPQN, https://open.spotify.com/artist/49T44frfa247TlfA2sH5SN",2023-08-04,220161,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
0161,https://open.spotify.com/track/2F2vHLElHlwwbtyZ4abLhP,KLUB REPUBLIK,https://open.spotify.com/album/3hf9iNzqkZCXaqnDOoF97y,"Alkohol Republik, Esé","https://open.spotify.com/artist/5w28jh5iKxR1Gi7zI6AHBZ, https://open.spotify.com/artist/15L7kIJaUcfIAaNlNcFhRE",2022-08-19,133552,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
03:05,https://open.spotify.com/track/5rwqUkrUvlh0C2K0hsRLxX,03:05,https://open.spotify.com/album/4u7asPFOTY450XfaeffStw,Bedface,https://open.spotify.com/artist/0eAAQv0pJd4cLvQF2ndyow,2023-03-31,237772,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
10 Things I Love About You,https://open.spotify.com/track/0tqkXClvNesIzvT2O9IebP,10 Things I Love About You,https://open.spotify.com/album/4Hl5dTgNOpfaNjFM3ZCkMm,DaSean,https://open.spotify.com/artist/1Xzl8QomifgAghemZ6egTC,2024-01-05,97116,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
100 ar av karlek,https://open.spotify.com/track/5VakgVwBCdGSR96IktUUIp,Demos of the ´90s,https://open.spotify.com/album/4exuP81etkEcPWj3m5xYa5,Haakon Pedersen,https://open.spotify.com/artist/1PqgzybBKKYjFsLGTdBTNo,2023-06-30,182440,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
100 Prozent,https://open.spotify.com/track/6QyaxyNEW1oW1UMgoa8AJD,100 Prozent,https://open.spotify.com/album/2IwhfbktsaTpI8dwNXbSxR,Fabi,https://open.spotify.com/artist/0qVf4hnvOJaTe2wiqF66Mg,2023-04-14,149994,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
1997,https://open.spotify.com/track/3iP3UCPYxBzfuQx1BSaYHZ,1997,https://open.spotify.com/album/0pDKrRGPwTIc3fiDqArNDS,"Peter Edström, Olivia Govik","https://open.spotify.com/artist/5Tl4EyVxzLIOhOgqndnKUL, https://open.spotify.com/artist/6d0CXbMHmceBVEcOiAliNx",2024-11-01,240000,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
2 AM,https://open.spotify.com/track/6PKMX2o7DpKxzYzOIe3X2N,2 AM,https://open.spotify.com/album/0f6eQ2noaLlhlNz79OEJNh,Scarlett Andrews,https://open.spotify.com/artist/39ky4XqnjvrS5skDUYtY6e,2022-11-25,150400,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
2 Cents,https://open.spotify.com/track/1xigdlv1xQv3l7iA7Yj1MK,2 Cents,https://open.spotify.com/album/64DlHTwswiNeaHYujRyi2T,Blanch,https://open.spotify.com/artist/7aTot5yHvWmwtjY1b2oS0x,2022-12-02,196874,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
200kr (det blir kjæmpetriveli!),https://open.spotify.com/track/19g7I5NRYZ1lrOslGcW80k,200kr (det blir kjæmpetriveli!),https://open.spotify.com/album/4ntVVfB0IVILadggQsMcQx,Moillrock,https://open.spotify.com/artist/444fH5AiqWJ5fCEec28VkD,2022-11-18,199068,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
23,https://open.spotify.com/track/0d0fxW31DxScIglB0kVpkk,23,https://open.spotify.com/album/22TwgsebwwEQRtFceyfI1q,Feyesal,https://open.spotify.com/artist/6frffJSfCnyExIFDQEHnyf,2024-06-07,148043,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
2am in London,https://open.spotify.com/track/4XFSXmSkcOk7shV8OaQSzE,2am in London,https://open.spotify.com/album/1wy8hswnq7bdO6Afg6hokL,Bradzbaby,https://open.spotify.com/artist/5RxS8uxGlmuyEnu7WXwPOP,2023-08-18,161936,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
2SEATERS,https://open.spotify.com/track/7oAdpPmlmIcEsz7Vf9Wp2Y,2SEATERS,https://open.spotify.com/album/59PKtjoziStHASPRYUvxeu,M.S.Y.G,https://open.spotify.com/artist/4KvxQV8SNw9nA4oXpy7oZI,2024-07-19,182668,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
303,https://open.spotify.com/track/39yExSaCqSmWBDClGAr8Tt,303,https://open.spotify.com/album/4TDD3r8FV020VIr2QJGwXX,Gero Camp,https://open.spotify.com/artist/0hRT14ejP5gmhfwExXjZAj,2024-11-22,231165,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
3M (City of Sins),https://open.spotify.com/track/4OwqHu3kEerF9yPvsqBWGE,3M (City of Sins),https://open.spotify.com/album/3guMauerTQYMCILFhp9Hno,GINAxC,https://open.spotify.com/artist/4hHUHCaBuD2d2FRHLgeOWQ,2024-08-23,205354,2022-06-10,"This playlist highlights new music from independent artists all over the world, distributed by Record Union, updated every Friday 😎",Independent Music Friday
