track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""Gimme"" A Little Kiss (Will ""Ya?"". Huh?)",https://open.spotify.com/track/3rJ8PpTNLMlfH2kLU9dzm0,That Was The Year - 1926,https://open.spotify.com/album/119QQzGYMDmaMIH4BK5WBL,Jack Smith,https://open.spotify.com/artist/5PEOMd2Gp2fBSRQZ6XffOJ,2013-06-10,193237,2021-12-21,,The Hot Sounds of 1926
"Alexander, Where's The Band? (c. 12-26)",https://open.spotify.com/track/0kC6Mdbc9rpx2ulsfLXpyj,Complete Jazz Series 1926 - 1929,https://open.spotify.com/album/5VeXEZCpzMBPnyEXMAyYm5,Tiny Parham,https://open.spotify.com/artist/4cTA31F2VpSG0GhcWmtvor,2013-06-10,182973,2021-12-21,,The Hot Sounds of 1926
Always,https://open.spotify.com/track/5DudaYNkalEySAbRdGUjce,The Very Best Of,https://open.spotify.com/album/1k9WIRLAIher3jpuj0jj49,George Olson & His Music,https://open.spotify.com/artist/7920LM0xN8acesPeFU4Eoh,2013-06-10,209160,2021-12-21,,The Hot Sounds of 1926
Baby Face,https://open.spotify.com/track/5sCO15YAgJizgNMaGxgsqX,The Great Gatsby,https://open.spotify.com/album/4kywbQBsXiEZECEZjc4tym,Ben Selvin & His Orchestra,https://open.spotify.com/artist/1XpbvmczuA8d6CgMYlJvU6,2013-06-10,186266,2021-12-21,,The Hot Sounds of 1926
Big Butter and Egg Man - Remastered,https://open.spotify.com/track/7MCqYDQEH76cNYK7HnKi3D,Satchmo and Satch (Classic Tracks Remastered),https://open.spotify.com/album/1JVNPdXCI4miZnXJd4YvRK,Louis Armstrong,https://open.spotify.com/artist/19eLuQmk9aCobbVDHc6eek,2013-06-10,180558,2021-12-21,,The Hot Sounds of 1926
Bird Song At Eventide,https://open.spotify.com/track/4pYITN166sPNd2yAhsHOOp,The Chappell Years,https://open.spotify.com/album/6wEYdrcVZYpRSPvyBzlzbc,The Queen's Hall Light Orchestra,https://open.spotify.com/artist/7Gdmb6gm9obX1zDX1lJa8r,2013-06-10,186640,2021-12-21,,The Hot Sounds of 1926
Black Bottom,https://open.spotify.com/track/0UWrixpu0RlOIBoMAI9clf,The Charleston,https://open.spotify.com/album/4Y8euz8VN4m0Mt7zvZDId6,Johnny Hamp & His Kentucky Serenaders,https://open.spotify.com/artist/5H3yKMseYtQYl7AoDYpfWT,2013-06-10,198640,2021-12-21,,The Hot Sounds of 1926
Boys of the Old Brigade (1926),https://open.spotify.com/track/0eGRGNXg0WwzRBrUBjXtR6,Peter Dawson - Ambassador of Song Vol 1,https://open.spotify.com/album/7tMzuwimk7fKdHLRH4wEG5,Peter Dawson,https://open.spotify.com/artist/5oRycIEGSXEmkUM10YoSlH,2013-06-10,226160,2021-12-21,,The Hot Sounds of 1926
Breezin' Along With The Breeze,https://open.spotify.com/track/51XjBjNXipjsTDGyW8A8pw,50 #1 Hits Of The '20s & '30s,https://open.spotify.com/album/3lb9NMRkjgkIHQCRLEpNqb,"Johnny Marvin ""The Ukulele Ace""",https://open.spotify.com/artist/6NA96NRfoh3QxLflata89P,2013-06-10,206666,2021-12-21,,The Hot Sounds of 1926
Bye Bye Blackbird,https://open.spotify.com/track/4bRHvUHdPdINoyHwPI9TBI,"The Jazz Mood, Vol.1 (100 Best Jazz Tracks Remastered)",https://open.spotify.com/album/2sHgsoc8FGVzjRqLMQWHiz,Gene Austin,https://open.spotify.com/artist/5iFJaXNEwdmI1PADAcM58d,2013-06-10,182751,2021-12-21,,The Hot Sounds of 1926
Clarinet Marmalade (12-08-26),https://open.spotify.com/track/6NIZ3tGAuMlnGT8SfppKt5,Complete Jazz Series 1926 - 1927,https://open.spotify.com/album/4FMend3xyHSxW8lVWGgWwi,Fletcher Henderson,https://open.spotify.com/artist/2ovJLSejirvJybNers2YG6,2013-06-10,170173,2021-12-21,,The Hot Sounds of 1926
Come On Boys Let's Do That Messin' Around,https://open.spotify.com/track/0w0qH6keqGrU9EhzmI6phr,All the Published Sides,https://open.spotify.com/album/7AgBWTMKOwcXLKkZSSIOXE,Blind Blake,https://open.spotify.com/artist/49KZvkEWchga5D1uhNo1yd,2013-06-10,166467,2021-12-21,,The Hot Sounds of 1926
Deep Henderson (04-21-26),https://open.spotify.com/track/5usSkOSSbOXUJjF15EMtzf,Complete Jazz Series 1923 - 1926,https://open.spotify.com/album/0PdrzQy0cDYh3yuz9jb7tt,King Oliver,https://open.spotify.com/artist/24PJRbYtu3Cq5CuF24c1QZ,2013-06-10,187333,2021-12-21,,The Hot Sounds of 1926
"Do-Do-Do - Oh, Kay 1926",https://open.spotify.com/track/68LbNTzv9eZKLkuieUXFNL,Broadway (1919 - 1946),https://open.spotify.com/album/4mjukq7UFdMsTS0zdB7Jl6,"Gertrude Lawrence, Harold French",https://open.spotify.com/artist/3Q7ZSIg5AfemNCtNyupVLK,2013-06-10,162160,2021-12-21,,The Hot Sounds of 1926
