track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Brand New Me,https://open.spotify.com/track/0827eActpDYORuhgvWB0oY,Girl On Fire,https://open.spotify.com/album/3qqhNVbjLFNdLviBFrFwCa,Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,2013-08-06,233560,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
Empire State of Mind (Part II) Broken Down,https://open.spotify.com/track/5sra5UY6sD658OabHL3QtI,The Element Of Freedom,https://open.spotify.com/album/0Rxab8t0y7GlaTJTHX2wEN,Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,2013-08-06,216480,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
Fallin',https://open.spotify.com/track/0KQx6HOpJueiSkztcS0r7D,Songs In A Minor,https://open.spotify.com/album/5qUlPoDmNxCSzqVx81RDLJ,Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,2013-08-06,210200,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
Girl On Fire,https://open.spotify.com/track/75pZHMj4SHAzJf35kwAAkQ,Girl On Fire,https://open.spotify.com/album/0099hANH76gInuXgPRXziP,Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,2013-08-06,224920,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
Girl On Fire (feat. Nicki Minaj) - Inferno Version,https://open.spotify.com/track/3XyMPyuWwHcGMvXeJY6Qt0,Girl On Fire,https://open.spotify.com/album/3qqhNVbjLFNdLviBFrFwCa,"Alicia Keys, Nicki Minaj","https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa, https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",2013-08-06,270720,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
If I Ain't Got You,https://open.spotify.com/track/3XVBdLihbNbxUwZosxcGuJ,The Diary Of Alicia Keys,https://open.spotify.com/album/6TqRKHLjDu5QZuC8u5Woij,Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,2013-08-06,228706,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
New Day,https://open.spotify.com/track/2rMreweJkDadtWMOEv1w67,Girl On Fire,https://open.spotify.com/album/3qqhNVbjLFNdLviBFrFwCa,Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,2013-08-06,242693,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
No One,https://open.spotify.com/track/6IwKcFdiRQZOWeYNhUiWIv,As I Am (Expanded Edition),https://open.spotify.com/album/6KlxyxhXEDo1LdheFulN7h,Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,2013-08-06,253813,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
Try Sleeping with a Broken Heart,https://open.spotify.com/track/1yK9LISg5uBOOW5bT2Wm0i,The Element Of Freedom,https://open.spotify.com/album/0Rxab8t0y7GlaTJTHX2wEN,Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,2013-08-06,249013,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
Un-thinkable (I'm Ready),https://open.spotify.com/track/4JOP8ELK6AaeySe7sKe996,The Element Of Freedom,https://open.spotify.com/album/0Rxab8t0y7GlaTJTHX2wEN,Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,2013-08-06,249240,2021-12-21,Missa inte Alicia Keys på Flamingo-scenen på LÖRDAG / 22.20,Alicia Keys
