track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
All Falls Down,https://open.spotify.com/track/4FHu9bOzBjZurx89CMa42L,The College Dropout (Explicit),https://open.spotify.com/album/1NRRN5RWwfuLmQdjshz0L7,"Kanye West, Syleena Johnson","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/1lE6SEy8f84Zhjvp7r8yTD",2013-06-04,223506,2021-12-21,,Happy Birthday Kanye!
All Of The Lights,https://open.spotify.com/track/1XvHiCTd0MDb16S8bQNl74,My Beautiful Dark Twisted Fantasy,https://open.spotify.com/album/6LBiuhK7PZKjVXyMfPxPoh,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2013-06-04,299613,2021-12-21,,Happy Birthday Kanye!
Already Home [Jay-Z + Kid Cudi],https://open.spotify.com/track/5ZIfOjIDOpeoQR0ZFRNtPq,The Blueprint 3,https://open.spotify.com/album/03JboE7JdI2P2lZjzVFjUP,JAY-Z,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,2013-06-04,269853,2021-12-21,,Happy Birthday Kanye!
B R Right (feat. Ludacris),https://open.spotify.com/track/7iKXO3oCFiiZRniwAJaGa4,Diamond Princess,https://open.spotify.com/album/6AMevGHBKW3lUyZcd017QZ,"Trina, Ludacris","https://open.spotify.com/artist/4PrinKSrmILmo0kERG0Ogn, https://open.spotify.com/artist/3ipn9JLAPI5GUEo4y4jcoi",2013-06-04,261986,2021-12-21,,Happy Birthday Kanye!
Can't Tell Me Nothing,https://open.spotify.com/track/7ptxlO1s34uXTPnm2S0Tno,Graduation (Alternative Business Partners),https://open.spotify.com/album/0FnTw6TY6iB5AHATPzCYkd,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2013-06-04,271600,2021-12-21,,Happy Birthday Kanye!
Champions,https://open.spotify.com/track/3mmyWgZhhL8QlblPguccP7,Dame Dash Presents Paid In Full / Dream Team,https://open.spotify.com/album/6cea3Mk3rvbeqZFqSt7TEy,"Damon Dash, Kanye West, Beanie Sigel, Cam'ron, Young Chris, Twista","https://open.spotify.com/artist/4ZkdpElKTmTEs9F5BuKTOe, https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/0tCtGc5vt29zFZp6KXzN50, https://open.spotify.com/artist/7iMvwE8qANp3aIfAGKEAwS, https://open.spotify.com/artist/5IYKSQZErXLpHp74EIIHp1, https://open.spotify.com/artist/6vbY3hOaCAhC7VjucswgdS",2013-06-04,372026,2021-12-21,,Happy Birthday Kanye!
Clique,https://open.spotify.com/track/65rRB2mspD309xE6YimZTl,Kanye West Presents Good Music Cruel Summer,https://open.spotify.com/album/0bcOGgwJpwBjfFBTApoqSn,"Kanye West, JAY-Z, Big Sean","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB, https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh",2013-06-04,293613,2021-12-21,,Happy Birthday Kanye!
Dead Or Alive,https://open.spotify.com/track/0PpwTWjOnN3cXlDKxgjqHm,Come Home With Me,https://open.spotify.com/album/39944ACXhgHs7gjXa5HehY,"Cam'ron, Jimmy Jones","https://open.spotify.com/artist/7iMvwE8qANp3aIfAGKEAwS, https://open.spotify.com/artist/7ydcRbgt0yM9etADb1Ackp",2013-06-04,247060,2021-12-21,,Happy Birthday Kanye!
Diamonds From Sierra Leone,https://open.spotify.com/track/3V8VqH4EmTU8VFVu00Ir9T,Late Registration,https://open.spotify.com/album/0Ds6i3h0F9RcYIKAD5Olum,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2013-06-04,238400,2021-12-21,,Happy Birthday Kanye!
Doin' My Job,https://open.spotify.com/track/1Wrq0Vmv5eVg676QxpZg7G,Trap Muzik,https://open.spotify.com/album/3I16wXzIVlaeb8ulHTxCXd,T.I.,https://open.spotify.com/artist/4OBJLual30L7gRl5UkeRcT,2013-06-04,253253,2021-12-21,,Happy Birthday Kanye!
Dreams,https://open.spotify.com/track/7l7tTR8FVBemCeJBrzBOXm,The Documentary,https://open.spotify.com/album/0d0QL1mV66wpb9cBvCSF0G,The Game,https://open.spotify.com/artist/0NbfKEOTQCcwd6o7wSDOHI,2013-06-04,286453,2021-12-21,,Happy Birthday Kanye!
Drive Slow,https://open.spotify.com/track/5AMekX6PigBBeBRHvB4MfZ,Late Registration,https://open.spotify.com/album/0Ds6i3h0F9RcYIKAD5Olum,"Kanye West, Paul Wall, GLC","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/0k7Xl1pqI3tu8sSEjo5oEg, https://open.spotify.com/artist/2hZ6jVi1cao5VlJHAEPzU7",2013-06-04,272226,2021-12-21,,Happy Birthday Kanye!
Drivin' Me Wild,https://open.spotify.com/track/7tuQOFadLOvJ7Dx0MJkVKt,Finding Forever,https://open.spotify.com/album/4Jq4PRvkyBUceUFMS2d4jR,"Common, Lily Allen","https://open.spotify.com/artist/2GHclqNVjqGuiE5mA7BEoc, https://open.spotify.com/artist/13saZpZnCDWOI9D4IJhp1f",2013-06-04,222533,2021-12-21,,Happy Birthday Kanye!
Encore,https://open.spotify.com/track/5lcW1x9duYBeWhVun0mdsc,The Hits Collection Volume One (Deluxe),https://open.spotify.com/album/4EOivv4vgGvUpxzkC3HrL9,JAY-Z,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,2013-06-04,249920,2021-12-21,,Happy Birthday Kanye!
Family Business,https://open.spotify.com/track/4UtUYddZgey5Y8sxqhW9mH,The College Dropout (Explicit),https://open.spotify.com/album/1NRRN5RWwfuLmQdjshz0L7,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2013-06-04,278893,2021-12-21,,Happy Birthday Kanye!
Flashing Lights,https://open.spotify.com/track/3EQ3P4NBEVDr2TRjaWXGnX,Graduation,https://open.spotify.com/album/6Xlizz8T58l4Qhq85Lgou7,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2013-06-04,237506,2021-12-21,,Happy Birthday Kanye!
Get By,https://open.spotify.com/track/6gw0VbU7mFGCFnpKS0CbYU,Rawkus Records - Best of Decade I 1995-2005 (Explicit Version),https://open.spotify.com/album/2Pt090paTHSNOAbWNW2hPs,Talib Kweli,https://open.spotify.com/artist/0lEssBAxQl2In4RpaB1C2Y,2013-06-04,227720,2021-12-21,,Happy Birthday Kanye!
Get Em High,https://open.spotify.com/track/6w2iQLSsOlu3ZhVzMrsk8F,All Falls Down (UK ECD maxi),https://open.spotify.com/album/5FtBUwkhRYipG1bVVboaiK,"Kanye West, Talib Kweli, Common","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/0lEssBAxQl2In4RpaB1C2Y, https://open.spotify.com/artist/2GHclqNVjqGuiE5mA7BEoc",2013-06-04,291240,2021-12-21,,Happy Birthday Kanye!
Getting Out The Game,https://open.spotify.com/track/0aZqnVL7YaAudfgVZbLKJw,Take 'em To The Cleaners,https://open.spotify.com/album/7MT3x69gZXbI4y8IbWxeXb,Consequence,https://open.spotify.com/artist/5KkgZ31b9eDwkvo9oMIrSm,2013-06-04,191693,2021-12-21,,Happy Birthday Kanye!
Gold Digger,https://open.spotify.com/track/5XJJdNPkwmbUwE79gv0NxK,Late Registration,https://open.spotify.com/album/4GRDFQ9HRoO0by8H0r2a3I,"Kanye West, Jamie Foxx","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/7LnaAXbDVIL75IVPnndf7w",2013-06-04,207626,2021-12-21,,Happy Birthday Kanye!
Gone,https://open.spotify.com/track/6vQTNCP1Ifp8xiyQULwZ69,Late Registration,https://open.spotify.com/album/0Ds6i3h0F9RcYIKAD5Olum,"Kanye West, Consequence, Cam'ron","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/5KkgZ31b9eDwkvo9oMIrSm, https://open.spotify.com/artist/7iMvwE8qANp3aIfAGKEAwS",2013-06-04,333293,2021-12-21,,Happy Birthday Kanye!
Gorgeous,https://open.spotify.com/track/1yhQGEykn7ZTNLwcIjOAwZ,My Beautiful Dark Twisted Fantasy,https://open.spotify.com/album/6LBiuhK7PZKjVXyMfPxPoh,"Kanye West, Kid Cudi, Raekwon","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu, https://open.spotify.com/artist/2yQf6b8hxahZaT5dHlWaB1",2013-06-04,357653,2021-12-21,,Happy Birthday Kanye!
Guess Who's Back,https://open.spotify.com/track/27dUo79lgLEy4Rk5w3UvSL,Greatest Hits,https://open.spotify.com/album/5wmfZWzWjS1UARhcZSirf4,"Scarface, JAY-Z, Beanie Sigel","https://open.spotify.com/artist/19KwjzvIL92r29IINtlPNP, https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB, https://open.spotify.com/artist/0tCtGc5vt29zFZp6KXzN50",2013-06-04,241573,2021-12-21,,Happy Birthday Kanye!
Heard 'Em Say,https://open.spotify.com/track/2jdX3ZYoTsg3LRechdSQzG,Heard 'Em Say,https://open.spotify.com/album/2KjGV5H2S2tXVdOJFXdYvd,"Kanye West, Adam Levine","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/4bYPcJP5jwMhSivRcqie2n",2013-06-04,206453,2021-12-21,,Happy Birthday Kanye!
Heart Of The City (Ain't No Love),https://open.spotify.com/track/1b4i9BV94aJSkoGwPSol1X,The Blueprint (Explicit Version),https://open.spotify.com/album/2RjKmaJhyiW1UvSCKIVJOp,JAY-Z,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,2013-06-04,223240,2021-12-21,,Happy Birthday Kanye!
Heartless,https://open.spotify.com/track/53gcDgFyqqpvCzXWrnFZpH,808s & Heartbreak (Softpak),https://open.spotify.com/album/6iFQqMVZ6eLQESfdkIzVXO,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2013-06-04,211000,2021-12-21,,Happy Birthday Kanye!
Hey Mama,https://open.spotify.com/track/2FgkwIXC52sHCbqVL8jE41,Late Registration,https://open.spotify.com/album/4GRDFQ9HRoO0by8H0r2a3I,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2013-06-04,305066,2021-12-21,,Happy Birthday Kanye!
