track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1234,https://open.spotify.com/track/49CP2usyaN98EdtrOWXnal,The Reminder,https://open.spotify.com/album/27Y2wm3WcFThQocgjLI5wF,Feist,https://open.spotify.com/artist/6CWTBjOJK75cTE8Xv8u1kj,2023-11-28,183666,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
5 Foot 9,https://open.spotify.com/track/0U4iRayct65wsaBMQGiLbg,Tyler Hubbard,https://open.spotify.com/album/2S3Q7phoa4bZEijkTRYaLu,Tyler Hubbard,https://open.spotify.com/artist/3BEV5FcxOtkQJ7lLRKMh3V,2023-11-28,189773,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
All To Myself,https://open.spotify.com/track/6VCBg0frE21HuNBMM28NKJ,All To Myself,https://open.spotify.com/album/7drBRMlflafTPUVmDJF4Xv,Andye,https://open.spotify.com/artist/45WqSW6mVJQNJuqF1nIKqj,2024-09-09,156465,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
American Town,https://open.spotify.com/track/19eUFBAnHBuTz6TCJXhu7h,Autumn Variations,https://open.spotify.com/album/4JBIPXbjtBx7keWjTnGYeJ,Ed Sheeran,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,2023-11-28,197976,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
Anti-Hero,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,Midnights,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-11-28,200690,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
Back To Black,https://open.spotify.com/track/30FURVTCpbKyykjSEQzGkH,Back To Black,https://open.spotify.com/album/097eYvf9NKjFnv4xA9s2oV,Amy Winehouse,https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR,2024-05-09,240440,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
Bad Decisions (with BTS & Snoop Dogg),https://open.spotify.com/track/0xzI1KAr0Yd9tv8jlIk3sn,Bad Decisions (with BTS & Snoop Dogg),https://open.spotify.com/album/2km2gV8HN1lk1e1GEDl7SN,"benny blanco, BTS, Snoop Dogg","https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa, https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX, https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG",2023-11-28,172714,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
bad guy,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,2023-11-28,194087,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
Bass Player's Brother,https://open.spotify.com/track/173EdxsH4UHQqPxE5y4kLd,Bass Player's Brother,https://open.spotify.com/album/1CANmUTLemKiVtLrHamDSg,Valley,https://open.spotify.com/artist/7blXVKBSxdFZsIqlhdViKc,2024-12-17,186489,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
Beautiful Mistakes (feat. Megan Thee Stallion),https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU,Beautiful Mistakes (feat. Megan Thee Stallion),https://open.spotify.com/album/4jGaPN2gEpKciN02ZKRShT,"Maroon 5, Megan Thee Stallion","https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP, https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK",2023-11-28,227395,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
Bed Chem,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF,Short n' Sweet,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2024-12-17,171869,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
Belong Together,https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu,Belong Together,https://open.spotify.com/album/3PlCMwyq6nuQYtoYproV1o,Mark Ambor,https://open.spotify.com/artist/11p2E654TTU8e0nZWBR4AL,2024-04-05,148317,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
Better Days (NEIKED x Mae Muller x Polo G),https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),https://open.spotify.com/album/2wcv0lHk5fUYyNGKugGa7q,"NEIKED, Mae Muller, Polo G","https://open.spotify.com/artist/5H6xmHXjsq98NLbEjuE29f, https://open.spotify.com/artist/1BEUkE2CSUgHTLSBMZdnFB, https://open.spotify.com/artist/6AgTAQt8XS6jRWi4sX7w49",2023-11-28,160656,2023-12-14,Shake up your day at the office with this safe-for-work mix.,Office Music (New & Old Hits!)
