track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Age Of Rage,https://open.spotify.com/track/0iwqaLyAkTKDS72u3Yb1qR,Age of Rage,https://open.spotify.com/album/7keeF0LMwjqqvA0UPtLTsP,Corroded,https://open.spotify.com/artist/2vH7B6YvHO3AHVb9R8bYi8,2012-05-07,206600,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
All This Dancin´ Around,https://open.spotify.com/track/4ICKOZfsgmgRDrsDGrzhgO,All This Dancin' Around,https://open.spotify.com/album/33Wl8TSxJ4byQwWa45ZRy2,Triggerfinger,https://open.spotify.com/artist/3UhIlk54Oe4ja06V962ptU,2012-05-07,230786,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
At The Left Hand Ov God,https://open.spotify.com/track/1izxIdGm12T8HiyghwR9qU,The Apostasy,https://open.spotify.com/album/2vliNGDzbqLZ87S6yqDerF,Behemoth,https://open.spotify.com/artist/1MK0sGeyTNkbefYGj673e9,2012-05-07,298333,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
Battle Hymn,https://open.spotify.com/track/4ByxgwK7FCVXoVE1ID4c9Q,Battle Hymn,https://open.spotify.com/album/4Rc6yqyJz2Mgz5xXLhXMkG,Manowar,https://open.spotify.com/artist/4CzUzn54Cp9TQr6a7JIlMZ,2012-05-07,416640,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
Black Crow on a Tombstone,https://open.spotify.com/track/0ceibOL5IiWDOeBv2PYUGS,The Age Of Nero,https://open.spotify.com/album/6aRs27tvkatPTAIE7gaj1j,Satyricon,https://open.spotify.com/artist/221Rd0FvVxMx7eCbWqjiKd,2012-05-07,230000,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
Bleed,https://open.spotify.com/track/4E6wpXABj8XosZEPXZz2OK,ObZen,https://open.spotify.com/album/2x2VoPa1pG2jSElA73a9Xa,Meshuggah,https://open.spotify.com/artist/3ggwAqZD3lyT2sbovlmfQY,2012-05-07,442733,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
Blessed With A Burden,https://open.spotify.com/track/52PdzRs4Mi8y1UP5hhZjgE,"Promise Little, Ruin Much",https://open.spotify.com/album/143oCOoGscCoYyxk3QwWbk,Itchy Daze,https://open.spotify.com/artist/7zK6HEeGdiwmMzRevbIhPx,2012-05-07,240373,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
Blodtørst,https://open.spotify.com/track/422eiufgtoGji4psgToXoA,Blodtørst,https://open.spotify.com/album/5p4utaBTIuDiczJIRnufdH,Kvelertak,https://open.spotify.com/artist/0VE0GTaTSeeGSzrQpLmeb9,2012-05-07,217466,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
Bye Bye Beautiful,https://open.spotify.com/track/1nizV50Nh1WwrVp0QUMisj,Dark Passion Play (Special Deluxe Edition),https://open.spotify.com/album/4VqPuC0LLhgb1Gp3SVEd1u,Nightwish,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1,2012-05-07,254615,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
Carry On,https://open.spotify.com/track/4S47FRAZ3VcyZS87FnQtmk,Fighting the World,https://open.spotify.com/album/2Bju49iO98LXuJsY2vKEqg,Manowar,https://open.spotify.com/artist/4CzUzn54Cp9TQr6a7JIlMZ,2012-05-07,252693,2021-12-21,"Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href=""spottily:app:tunigo"">Tunigo</a>. ",Getaway Rock 2012
