track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
And I Love Her - Live On MTV Unplugged,https://open.spotify.com/track/2TJhq8CrTlz6oRSljprEKg,Unplugged - The Official Bootleg,https://open.spotify.com/album/7KvVAe42ZV1LcfaW96mBNk,Paul McCartney,https://open.spotify.com/artist/4STHEaNw4mPZ2tzheohgXB,2015-07-23,256933,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Can't You Hear Me Knocking - Alternate Version,https://open.spotify.com/track/682gCKYRQyeRbXpb3ztDH7,Can't You Hear Me Knocking (Alternate Version),https://open.spotify.com/album/3fSAnMkxpG3jyDFubmvhKB,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,2015-07-23,204033,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Carolina in My Mind,https://open.spotify.com/track/2T5Ch09nefwckOu5NQvjIk,Greatest Hits,https://open.spotify.com/album/2L4U4JjEADYaVltkvDrkCC,James Taylor,https://open.spotify.com/artist/0vn7UBvSQECKJm2817Yf1P,2015-07-23,238573,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Change the World,https://open.spotify.com/track/6BQNJ0JFKh8sWjQLI6Zudi,Clapton Chronicles: The Best of Eric Clapton,https://open.spotify.com/album/6FCakQJ6z6TF0y0qkHYKgy,Eric Clapton,https://open.spotify.com/artist/6PAt558ZEZl0DmdXlnjMgD,2015-07-23,234866,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Crazy On You,https://open.spotify.com/track/5zH710lFSLtkHbMkslLDjR,Dreamboat Annie,https://open.spotify.com/album/2N0AgtWbCmVoNUl2GN1opH,Heart,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv,2015-07-23,293440,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Edge of Seventeen,https://open.spotify.com/track/2id8E4WvczfKHB4LHI7Np3,Crystal Visions...The Very Best of Stevie Nicks,https://open.spotify.com/album/7q0dYnAjmqZBJLhMBre8aL,Stevie Nicks,https://open.spotify.com/artist/7crPfGd2k81ekOoSqQKWWz,2015-07-23,329680,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Fire and Rain,https://open.spotify.com/track/3LcYYV9ozePfgYYmXv0P3r,Sweet Baby James,https://open.spotify.com/album/2NEQ5Q4sBbUHVVx3Wf8TEZ,James Taylor,https://open.spotify.com/artist/0vn7UBvSQECKJm2817Yf1P,2015-07-23,200579,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",https://open.spotify.com/track/5O6mz4qn6q7MSKubAzRnDW,The Essential Johnny Cash,https://open.spotify.com/album/4E2eUhFHqTG2pu9MN1NDIF,Johnny Cash,https://open.spotify.com/artist/6kACVPfCOnqzgfEF5ryl0x,2015-07-23,162906,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
It's Too Late,https://open.spotify.com/track/66KgSwQE4UmJttgfYiaR5I,Tapestry (Legacy Edition),https://open.spotify.com/album/7kLLC7CN8oxt0HgP2a051K,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2015-07-23,233173,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Jolene,https://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn,Jolene (Expanded Edition),https://open.spotify.com/album/2v2iR6vtrLVTyiNIEsv5Sg,Dolly Parton,https://open.spotify.com/artist/32vWCbZh0xZ4o9gkz4PsEU,2015-07-23,161533,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Landslide,https://open.spotify.com/track/5ihS6UUlyQAfmp48eSkxuQ,Fleetwood Mac,https://open.spotify.com/album/5VIQ3VaAoRKOEpJ0fewdvo,Fleetwood Mac,https://open.spotify.com/artist/08GQAI4eElDnROBrJRGE0X,2015-07-23,199493,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",https://open.spotify.com/track/6YEOmCsXSk9ZPE0FkcCiuQ,Clapton Chronicles: The Best of Eric Clapton,https://open.spotify.com/album/6FCakQJ6z6TF0y0qkHYKgy,Eric Clapton,https://open.spotify.com/artist/6PAt558ZEZl0DmdXlnjMgD,2015-07-23,260440,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Like a Rolling Stone,https://open.spotify.com/track/3AhXZa8sUQht0UEdBJgpGc,Highway 61 Revisited,https://open.spotify.com/album/6YabPKtZAjxwyWbuO9p4ZD,Bob Dylan,https://open.spotify.com/artist/74ASZWbe4lXaubB36ztrGX,2015-07-23,369600,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Maggie May - Remastered Version,https://open.spotify.com/track/1r3kj1yMff7ilIsR7hpvUo,The Definitive Rod Stewart,https://open.spotify.com/album/16B8kK28QgKIYTb7XyLMuj,Rod Stewart,https://open.spotify.com/artist/2y8Jo9CKhJvtfeKOsYzRdT,2015-07-23,345680,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Midnight Rider,https://open.spotify.com/track/7egyR1d4Xmr1TsmpJct9bL,The Best Of The Allman Brothers 20th Century Masters The Millennium Collection,https://open.spotify.com/album/7a1xwcbhy0AYoLM8f2ikqc,Allman Brothers Band,https://open.spotify.com/artist/4wQ3PyMz3WwJGI5uEqHUVR,2015-07-23,178000,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Our House,https://open.spotify.com/track/2hitsKa8SthKhRJBXUHbIv,Deja Vu,https://open.spotify.com/album/5bHkK1X4WEOzNvRhehvOcb,"Crosby, Stills, Nash & Young",https://open.spotify.com/artist/1CYsQCypByMVgnv17qsSbQ,2015-07-23,179760,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
Same Old Train,https://open.spotify.com/track/5KMWwtJv3Ll2ROZfMerQs0,Tribute To Tradition,https://open.spotify.com/album/4Mngcv6ExjREiOqSH8vG1D,"Marty Stuart, Earl Scruggs, Clint Black, Joe Diffie, Merle Haggard, Emmylou Harris, Alison Krauss, Patty Loveless, Ricky Skaggs, Pam Tillis, Randy Travis, Travis Tritt, Dwight Yoakam","https://open.spotify.com/artist/3OyGv7XUYQwQgECYSzJhyO, https://open.spotify.com/artist/4NEA48c6ajydrRzCbyll3M, https://open.spotify.com/artist/3Ay15wt0QChT4Kapsuw5Jt, https://open.spotify.com/artist/3THMgU4KdL7LlO5TEREs2g, https://open.spotify.com/artist/2ptmyXoL7poH6Zq62h1QT9, https://open.spotify.com/artist/5s6TJEuHTr9GR894wc6VfP, https://open.spotify.com/artist/5J6L7N6B4nI1M5cwa29mQG, https://open.spotify.com/artist/6SFUC6ORDCIBqPssCBpeHT, https://open.spotify.com/artist/0uNC9XuH437fKCCMuzvSks, https://open.spotify.com/artist/1SX44N5qjWuFcCK8WTO0c6, https://open.spotify.com/artist/1pTuR132U5b4Rizal2Pr7m, https://open.spotify.com/artist/2M4Yt7oKGoYd0wqU44k4i2, https://open.spotify.com/artist/2sxmKe3CUrWnx7eoXMhOlW",2015-07-23,361093,2021-12-21,"From then to now, these songs will forever be classics.",The Bridge
