track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
505,https://open.spotify.com/track/0BxE4FqsDD1Ot4YuBXwAPp,Favourite Worst Nightmare,https://open.spotify.com/album/1XkGORuUX2QGOEIL4EbJKm,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,2023-06-11,253586,2023-11-24,cookin&#x27;,Aish
Ahora,https://open.spotify.com/track/5ssi8k015gKhPXEgC7qDU2,Ahora,https://open.spotify.com/album/572DlykUWZFfVRPBEYierU,J Balvin,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,2023-06-12,254906,2023-11-24,cookin&#x27;,Aish
Alag Aasmaan,https://open.spotify.com/track/74kCarkFBzXYXNkkYJIsG0,Alag Aasmaan,https://open.spotify.com/album/2WSMj9vMUGTwAMq0fo1vXi,Anuv Jain,https://open.spotify.com/artist/4gdMJYnopf2nEUcanAwstx,2023-06-10,212773,2023-11-24,cookin&#x27;,Aish
All The Stars (with SZA),https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,Black Panther The Album Music From And Inspired By,https://open.spotify.com/album/3pLdWdkj83EYfDN6H2N8MR,"Kendrick Lamar, SZA","https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg, https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP",2023-06-11,232186,2023-11-24,cookin&#x27;,Aish
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",https://open.spotify.com/track/6Ec5LeRzkisa5KJtwLfOoW,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),https://open.spotify.com/album/1bwbZJ6khPJyVpOaqgKsoZ,"Metro Boomin, A$AP Rocky, Roisee","https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp, https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca, https://open.spotify.com/artist/5pCGvSxNNUcddlRrG0wsrY",2024-05-08,256026,2023-11-24,cookin&#x27;,Aish
Apocalypse,https://open.spotify.com/track/0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,https://open.spotify.com/album/2mxFsS5yylSTHNivV53HoA,Cigarettes After Sex,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj,2023-06-10,290616,2023-11-24,cookin&#x27;,Aish
Arms Around You (feat. Maluma & Swae Lee),https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,Arms Around You (feat. Maluma & Swae Lee),https://open.spotify.com/album/3FtwiRgtcCLAiKHDvoj7bO,"XXXTENTACION, Lil Pump, Swae Lee, Maluma","https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4, https://open.spotify.com/artist/3wyVrVrFCkukjdVIdirGVY, https://open.spotify.com/artist/1zNqQNIdeOUZHb8zbZRFMX, https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau",2023-06-10,198902,2023-11-24,cookin&#x27;,Aish
Azul,https://open.spotify.com/track/7sIE5XUDPjx7W0kygSwQUU,Azul,https://open.spotify.com/album/2jFiD51oGy84NQoHjtiRZb,La Beat Machine,https://open.spotify.com/artist/6mCAbMWEuo0uz3pRMVZZN6,2023-06-10,202888,2023-11-24,cookin&#x27;,Aish
Barcelona Girl,https://open.spotify.com/track/6cwu0DQZkjyy88HvDfuUgQ,Barcelona Girl,https://open.spotify.com/album/0dU1gIbS1jS1UlOBC13Z5h,Corella,https://open.spotify.com/artist/5LoyxydilSHtcohX3rSRXe,2023-06-10,204600,2023-11-24,cookin&#x27;,Aish
Big Talk,https://open.spotify.com/track/39W9pHDCfUcw3zJSYb3HNJ,Big Talk,https://open.spotify.com/album/2Rt12p1ywQyDf0czEb1nPK,SOFY,https://open.spotify.com/artist/34TRRbxNJYpDV7VJ7kBzQd,2023-06-10,197352,2023-11-24,cookin&#x27;,Aish
