track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2008,https://open.spotify.com/track/6P9k0dC9CP1g4ZlSzQn90M,2008,https://open.spotify.com/album/5KC7HD8Zt9kF088rA3SLl4,Rex Orange County,https://open.spotify.com/artist/7pbDxGE6nQSZVfiFdq9lOL,2024-12-23,153637,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
4EVA (feat. Pharrell Williams),https://open.spotify.com/track/3CblJq8QQQ0bb7vwJu8c3v,4EVA (feat. Pharrell Williams),https://open.spotify.com/album/3unS7dpXcZ0MmNBDkp5Hqx,"KAYTRAMINÉ, Aminé, KAYTRANADA, Pharrell Williams","https://open.spotify.com/artist/5oifjQw72WO7Jut07fVWMy, https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ, https://open.spotify.com/artist/6qgnBH6iDM91ipVXv28OMu, https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8",2023-12-18,190373,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
A Tear in Space (Airlock),https://open.spotify.com/track/6Bi1Y7TD70eWTCKn7jsQQm,A Tear in Space (Airlock),https://open.spotify.com/album/6X2fbRz8huOXlxzId6ET7J,Glass Animals,https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq,2024-12-23,203989,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
adore u,https://open.spotify.com/track/3YgtkOxZsTuaZdL8McA1FQ,adore u,https://open.spotify.com/album/7K3BWpksmH4L7BoqUdhZrL,"Fred again.., Obongjayar","https://open.spotify.com/artist/4oLeXFyACqeem2VImYeBFe, https://open.spotify.com/artist/6l7R1jntPahGxwJt7Tky8h",2023-12-18,220653,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Again,https://open.spotify.com/track/1G6lvEwncMrBYI95ZgD4Jz,Again,https://open.spotify.com/album/4K87pAxpT0qowwEuEBOelo,"Roseaux, Anna Majidson","https://open.spotify.com/artist/3JUUs8oZ6MRA1f2ahfusYu, https://open.spotify.com/artist/7jfJJuEsycOiEc2n4fCM7z",2024-12-23,264306,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Alesis,https://open.spotify.com/track/4u7vj352S98d9iA7ac1EVG,Two Star & The Dream Police,https://open.spotify.com/album/6DlLdXBGCsSDPOV8R2pCl7,Mk.gee,https://open.spotify.com/artist/7tr9pbgNEKtG0GQTKe08Tz,2024-12-23,198295,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Astral Plane,https://open.spotify.com/track/6srWhJKBiuuPXpjUjQeAHc,Silver,https://open.spotify.com/album/043vgwukOxX7bcL4VuMX10,Say She She,https://open.spotify.com/artist/1WGb8nCPGJA0RyriSDIQfC,2023-12-18,281333,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Atavista,https://open.spotify.com/track/6Lj4RhwPsVfMn7tsA5i8jW,Atavista,https://open.spotify.com/album/692R05mxz7V6eOFoj5PMlQ,Childish Gambino,https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL,2024-12-23,181666,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Avalanche Of Love,https://open.spotify.com/track/1ypEcoMJdjba3Xh9QUIM7K,Zango,https://open.spotify.com/album/2J92im3sUEJM3pvDqDeS7f,"WITCH, Sampa the Great","https://open.spotify.com/artist/0LMkPoi2xIgpOPUSJMftqM, https://open.spotify.com/artist/7fw0E8WHdG3r9SuPBcGmWk",2023-12-18,235840,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Back On 74,https://open.spotify.com/track/19kHhX6f6EfLU7rcO3RqjO,Volcano,https://open.spotify.com/album/5xnXOCf5aZgZ43DgGN4EDv,Jungle,https://open.spotify.com/artist/59oA5WbbQvomJz2BuRG071,2023-12-18,209482,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Berget,https://open.spotify.com/track/7gdRvpMZATkoCadNtNDZyH,Oas,https://open.spotify.com/album/4bLJmyoH2k2IQGDas2hd0c,Dina Ögon,https://open.spotify.com/artist/55Juru3AZOT8GrCxOaV3EI,2023-12-18,198828,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Best For You and Me,https://open.spotify.com/track/6AwnFyD3ipazsvlgasiIMd,PHASOR,https://open.spotify.com/album/0iIfsqcMuRwzmseYvSZw9S,Helado Negro,https://open.spotify.com/artist/69qhRLDvsWJOhWGXXQ0lQQ,2024-12-23,185263,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Black British,https://open.spotify.com/track/0ZYWQYsfhLLiZW5FPIkXw1,Black British,https://open.spotify.com/album/4jdpV7FhHIp2BlesVDerOX,V V Brown,https://open.spotify.com/artist/39ZHUueufhIdbW4yu9uODG,2023-12-18,258064,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
black mirror,https://open.spotify.com/track/0oJO0gr6eOZJmLQcSD4Ekw,Sundial,https://open.spotify.com/album/1RThtoZbeE7OQHMBzaBCJt,Noname,https://open.spotify.com/artist/1EpyA68dKpjf7jXmQL88Hy,2023-12-18,137197,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Blackoak,https://open.spotify.com/track/1iJL69P6zSF5lGf961kC18,Blackoak,https://open.spotify.com/album/2ulcLtfovYkJyt8frpO6R9,Maribou State,https://open.spotify.com/artist/7zrkALJ9ayRjzysp4QYoEg,2023-12-18,288613,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Boomerang,https://open.spotify.com/track/6yEANV0C15jXJg2lsHf6F5,Boomerang,https://open.spotify.com/album/5dRqkoDZOtMANCUqYyhswt,Jamila Woods,https://open.spotify.com/artist/4UodukR17NIQfNu5uaqm9B,2023-12-18,182745,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
BROWN EYES,https://open.spotify.com/track/2WmdKh70RteUNcO3jD9nx2,LADYBUG,https://open.spotify.com/album/3iCuwgTQ1KFzoV3HPvShiC,Kevin Holliday,https://open.spotify.com/artist/30VidDqHTbEp8U7CBe1mX0,2024-12-23,199626,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
Bubbles,https://open.spotify.com/track/5Oy33SQQuGSYHpsgWoVnYp,Bubbles,https://open.spotify.com/album/2Z9yJRQBIgJMBT0snDlf5n,Aksel & Aino,https://open.spotify.com/artist/4OC2ykcgmaj4XepHY1AEYO,2024-12-23,222419,2023-12-23,"Les meilleures musiques de l'année 2024 sélectionnées par la radio GRRIF. <a href=""http://www.grrif.ch"">www.grrif.ch</a>",Les 100 de 2024
