track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ain't No Sunshine,https://open.spotify.com/track/06GMqqIYyVPUWRy0scjRcx,Discover Bill Withers,https://open.spotify.com/album/0PuHBmxh6nKG8TTjuVZghY,Bill Withers,https://open.spotify.com/artist/1ThoqLcyIYvZn7iWbj8fsj,2013-06-27,123333,2021-12-21,,1971
Amos Moses,https://open.spotify.com/track/3kEIbKeC3AJgxLSvB0HL07,My Name Is Earl,https://open.spotify.com/album/5hsy73uICuz1OgHCSv8hkC,Jerry Reed,https://open.spotify.com/artist/3kvy8do7n0qVqvlNFS4yOF,2013-06-27,140840,2021-12-21,,1971
Beginnings - 2007 Remaster,https://open.spotify.com/track/0AJXT6PA58WV4poNqxmhK2,"The Best of Chicago, 40th Anniversary Edition",https://open.spotify.com/album/13etqTFFO9ZKGD3LeRMROL,Chicago,https://open.spotify.com/artist/3iDD7bnsjL9J4fO298r0L0,2013-06-27,170720,2021-12-21,,1971
Bridge over Troubled Water,https://open.spotify.com/track/74yAp1bdvCL5FBrt6OGb4J,Queen of Soul - The Best of Aretha Franklin,https://open.spotify.com/album/6OxXVtZwExAmdrUIG2afFf,Aretha Franklin,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok,2013-06-27,331360,2021-12-21,,1971
Brown Sugar - (Original Single Stereo Version),https://open.spotify.com/track/7ww5N3s0sFmUKF7573BW7x,Singles 1968-1971,https://open.spotify.com/album/7xZouUPtoLMxXcRwgWi5BO,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,2013-06-27,229160,2021-12-21,,1971
Do You Know What I Mean,https://open.spotify.com/track/0I7ppAteWHCbfkEfOAbtIf,5th,https://open.spotify.com/album/5cVYjmFRCc3OfkQFhBRWUn,Lee Michaels,https://open.spotify.com/artist/6f07NU6NNMLQYXIABUv7z3,2013-06-27,195546,2021-12-21,,1971
Doesn't Somebody Want to Be Wanted,https://open.spotify.com/track/4CPBiIefLqqQtw1yeFTNF2,Come On Get Happy! The Very Best Of The Partridge Family,https://open.spotify.com/album/0BX46gm7cwfCmh2Yi1MvoZ,The Partridge Family,https://open.spotify.com/artist/7u1mqP3ykglpCB2c1p1p5I,2013-06-27,169266,2021-12-21,,1971
Don't Pull Your Love,https://open.spotify.com/track/0AcuXI6KTCmLBoMQz3WKuS,"Hamilton, Joe Frank & Reynolds-Greatest Hits",https://open.spotify.com/album/6G5D6j6dV3wPk3PRXKMvGb,"Hamilton, Joe Frank & Reynolds",https://open.spotify.com/artist/7vpRSadEAzLs0ikY7gAESe,2013-06-27,162026,2021-12-21,,1971
Draggin' The Line,https://open.spotify.com/track/7AtS7aJqMVZSBNO27E8pPJ,40 Years,https://open.spotify.com/album/5VPafQlpocmVwSYCpjES5x,Tommy James,https://open.spotify.com/artist/7eRORqxEbt7ftbaaWP0k5v,2013-06-27,162973,2021-12-21,,1971
For All We Know,https://open.spotify.com/track/4VD9bzVQXXv0K6fIgX3WRX,The Singles 1969 - 1973,https://open.spotify.com/album/1ZipQdyXZFZx4BlfhDo9zN,Carpenters,https://open.spotify.com/artist/1eEfMU2AhEo7XnKgL7c304,2013-06-27,154826,2021-12-21,,1971
Go Away Little Girl,https://open.spotify.com/track/4kjOWauuYptQVSnuac4dsr,20th Century Masters: The Millennium Collection: Best of Donny Osmond,https://open.spotify.com/album/3HFku9tiI6QkCyvXfFIaeO,Donny Osmond,https://open.spotify.com/artist/5ZEAzHE2TzAwUcOj6jMIgf,2013-06-27,149160,2021-12-21,,1971
"Gypsys, Tramps & Thieves",https://open.spotify.com/track/6fsSZbNL7XP9gf1kJ2l155,"Gypsys, Tramps & Thieves",https://open.spotify.com/album/4NsAwBNLIHDpmlCCGNGzH9,Cher,https://open.spotify.com/artist/72OaDtakiy6yFqkt4TsiFt,2013-06-27,158000,2021-12-21,,1971
Help Me Make It Through The Night,https://open.spotify.com/track/3DlrvYMG2VRxjX0tQIzv2b,Help Me Make It Through The Night,https://open.spotify.com/album/15nCQjdOTqAoyMEjH4r6j1,Sammi Smith,https://open.spotify.com/artist/5kZDCAD5zLelf8NYHoRSHS,2013-06-27,152293,2021-12-21,,1971
How Can You Mend a Broken Heart? - Remastered Version,https://open.spotify.com/track/4qoKzh91WRDcwHCgQLN3vV,"Best Of Bee Gees, Vol. 2",https://open.spotify.com/album/2MD51I2qd8w0FoUGg9Msba,Bee Gees,https://open.spotify.com/artist/1LZEQNv7sE11VDY3SdxQeN,2013-06-27,237893,2021-12-21,,1971
I Don't Know How To Love Him,https://open.spotify.com/track/6DSq5IghuzKhH3AYatSb6h,I Don't Know How To Love Him,https://open.spotify.com/album/3pDoYPmWZOKa2fabrXVpaB,Helen Reddy,https://open.spotify.com/artist/0Sq7oGrYEe0BDmb13wgjOO,2013-06-27,199146,2021-12-21,,1971
If You Could Read My Mind,https://open.spotify.com/track/0fjYN9BylnRXMA3or3QSld,Gord's Gold,https://open.spotify.com/album/6okC12pcFeLZOifXdunuhQ,Gordon Lightfoot,https://open.spotify.com/artist/23rleGXVOVVgTk3xgtmfE4,2013-06-27,229560,2021-12-21,,1971
If You Really Love Me,https://open.spotify.com/track/2jJWc1MIlKdqpcrzmiZ47V,Motown Legends Love Songs,https://open.spotify.com/album/0cdJa1aPGUpVu0UElq9Wr0,Stevie Wonder,https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi,2013-06-27,177600,2021-12-21,,1971
Indian Reservation (The Lament Of The Cherokee Reservation Indian),https://open.spotify.com/track/55OHlWgzchYzRZ7qWdoYIW,The Legend Of Paul Revere (feat. Mark Lindsay),https://open.spotify.com/album/5QWmP1uLBMWsQ81Vx5r2vX,Paul Revere & The Raiders,https://open.spotify.com/artist/32HPpJAhgnGPT3V7UOggzi,2013-06-27,172133,2021-12-21,,1971
It's Too Late,https://open.spotify.com/track/1oC4vE7vSN259qX8VpQjGU,Carole King: The Ode Collection,https://open.spotify.com/album/3kbEbYvWSub8LsGZpq6lcp,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2013-06-27,233506,2021-12-21,,1971
Joy To The World,https://open.spotify.com/track/2ymeOsYijJz09LfKw3yM2x,Naturally,https://open.spotify.com/album/2v8XEhOPoKX7iVWq5mWWBM,Three Dog Night,https://open.spotify.com/artist/4FAEZeJcsYYBkNq2D3KGTV,2013-06-27,220573,2021-12-21,,1971
Just My Imagination (Running Away With Me),https://open.spotify.com/track/3gbwcu7E9ACpJsLm7vEpuN,Dead Presidents Volume II / Music From The Motion Picture,https://open.spotify.com/album/52Us0gT9wf2yGMNlwTATGB,The Temptations,https://open.spotify.com/artist/3RwQ26hR2tJtA8F9p2n7jG,2013-06-27,233373,2021-12-21,,1971
Knock Three Times,https://open.spotify.com/track/6gvfXd7pEUSPuNEMWwOJUH,The Definitive Collection,https://open.spotify.com/album/2d5cE0rNwRTKSqOOuzEAXq,Tony Orlando & Dawn,https://open.spotify.com/artist/72NXpYBIaTfEeAAsxXLs0P,2013-06-27,180360,2021-12-21,,1971
Maggie May - Single Version,https://open.spotify.com/track/6G9C2SzXsGLkoknwoWI9C8,70's Pop Number 1's,https://open.spotify.com/album/5i8kfdER1rHnhzYcQc5KXX,Rod Stewart,https://open.spotify.com/artist/2y8Jo9CKhJvtfeKOsYzRdT,2013-06-27,222040,2021-12-21,,1971
Me and Bobby McGee,https://open.spotify.com/track/2WbKNC4c7OCiSqv4WGR3BN,Music From The Motion Picture Watchmen,https://open.spotify.com/album/5643V0ojEFh2bULWiPhuhs,Janis Joplin,https://open.spotify.com/artist/4NgfOZCL9Ml67xzM0xzIvC,2013-06-27,269800,2021-12-21,,1971
Me and You and a Dog Named Boo,https://open.spotify.com/track/3wRiwV9HdarzkktRH7If46,The Best Of Lobo,https://open.spotify.com/album/5FXBEje9MaN8rSPODQaXAL,Lobo,https://open.spotify.com/artist/1sldhz8tzC100cRAdfnMht,2013-06-27,177933,2021-12-21,,1971
Mr. Big Stuff,https://open.spotify.com/track/0TRJSoV6b5zDASVtdMK7oT,"Stax Chartbusters, Vol. 1",https://open.spotify.com/album/4oEYZnyz2yqpWjjBcq7xLk,Jean Knight,https://open.spotify.com/artist/2Tk0pWxTuQgnE5nsUexrLr,2013-06-27,154253,2021-12-21,,1971
Mr. Bojangles - Remastered 2001,https://open.spotify.com/track/3cq6mwsjgygbwRIi9wVPGv,Certified Hits (Remastered),https://open.spotify.com/album/2ZJcwgKQMSLyQAfBJsWfbD,Nitty Gritty Dirt Band,https://open.spotify.com/artist/7y70dch6JuuuNnwlsOQvwW,2013-06-27,215400,2021-12-21,,1971
Never Can Say Goodbye - Single Version,https://open.spotify.com/track/00xTcz36WYcfbne25nPB1M,The Ultimate Collection: Jackson 5,https://open.spotify.com/album/6NuV6nId3nErKHQbdbwltq,The Jackson 5,https://open.spotify.com/artist/2iE18Oxc8YSumAU232n4rW,2013-06-27,180106,2021-12-21,,1971
One Bad Apple,https://open.spotify.com/track/1BphrvqrOj0y8C0umSSrCP,20th Century Masters: The Millennium Collection: Best of The Osmonds,https://open.spotify.com/album/6hM44tvEu7vu3saAvOrbR2,The Osmonds,https://open.spotify.com/artist/5fU6lODhpw3GEGGJuaDprR,2013-06-27,167640,2021-12-21,,1971
Proud Mary,https://open.spotify.com/track/5D0gtDob98Wnf9os05xcjb,The Best Of (Digitally Remastered),https://open.spotify.com/album/2zhs7XtptkQ2ByeIYfjj8G,"Ike Turner, Tina Turner","https://open.spotify.com/artist/0FAxkBiT0g3jKF2AaKEipb, https://open.spotify.com/artist/1zuJe6b1roixEKMOtyrEak",2013-06-27,297626,2021-12-21,,1971
Rainy Days And Mondays - Single Version,https://open.spotify.com/track/0rL5RSERoMfEIak4DAI51d,The Singles 1969 - 1973,https://open.spotify.com/album/1ZipQdyXZFZx4BlfhDo9zN,Carpenters,https://open.spotify.com/artist/1eEfMU2AhEo7XnKgL7c304,2013-06-27,200706,2021-12-21,,1971
Rose Garden,https://open.spotify.com/track/5mJwUOv7NUUxRRRfd43BWI,Rose Garden,https://open.spotify.com/album/3IyZ2Ch39Jw9U98639H6pM,Lynn Anderson,https://open.spotify.com/artist/502FY8XQYRxClWgolQ3Hf2,2013-06-27,174400,2021-12-21,,1971
She's A Lady,https://open.spotify.com/track/0GWKqusjrUtxWZexPvDHhJ,Gold (1965 - 1975),https://open.spotify.com/album/0gPa2i2Tb3WAaizBLiW3B5,Tom Jones,https://open.spotify.com/artist/1T0wRBO0CK0vK8ouUMqEl5,2013-06-27,172826,2021-12-21,,1971
