track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A holnap küszöbén,https://open.spotify.com/track/32sN0mZtE5G8HMwXtLc3No,Ég és föld,https://open.spotify.com/album/16zN1LWmqj30qVgHQ59egQ,Follow The Flow,https://open.spotify.com/artist/1UIPahyz7pEKaU6RQvU3FC,2024-12-23,197632,2025-02-19,,Halo (2)
Adieu,https://open.spotify.com/track/0yAq0ErFNcgzTMpjXQNu4J,DESHPERADO,https://open.spotify.com/album/1hbbYNHuiBJ77XlDvk4Syy,DESH,https://open.spotify.com/artist/4dqqy9z09htrVsRiJpoQmw,2024-10-30,219666,2025-02-19,,Halo (2)
aight,https://open.spotify.com/track/37kI8bPlN5iN37kSFTyKCY,camouflage,https://open.spotify.com/album/3OFCYRfoLNKtAnr1CsSVqa,Azahriah,https://open.spotify.com/artist/6EIriUxo7vznEgJtTDlXpq,2024-10-17,127500,2025-02-19,,Halo (2)
Apály,https://open.spotify.com/track/156AeYPPIRgeYJWmC3JUbO,Apály,https://open.spotify.com/album/1Mh4B5kMXU35AexkEjOlSX,DESH,https://open.spotify.com/artist/4dqqy9z09htrVsRiJpoQmw,2024-10-17,130869,2025-02-19,,Halo (2)
BAKPAKK,https://open.spotify.com/track/6dd2fGbktU3zOHHWK58nto,BAKPAKK,https://open.spotify.com/album/0oCPs1829LWGJUVlx50BNE,"DESH, Young Fly, Azahriah","https://open.spotify.com/artist/4dqqy9z09htrVsRiJpoQmw, https://open.spotify.com/artist/0zmW213tzA7NFv6ESRso7N, https://open.spotify.com/artist/6EIriUxo7vznEgJtTDlXpq",2024-10-17,167687,2025-02-19,,Halo (2)
BANG BANG BANG,https://open.spotify.com/track/3dI59jLoFMjMAyUAyRZnkE,MADE,https://open.spotify.com/album/2SPrl8C8pgSM5gXbAiyJHY,BIGBANG,https://open.spotify.com/artist/4Kxlr1PRlDKEB0ekOCyHgX,2025-01-21,220177,2025-02-19,,Halo (2)
Bohemian Rhapsody - Remastered 2011,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,A Night At The Opera (2011 Remaster),https://open.spotify.com/album/1GbtB4zTqAsyfZEsm1RZfx,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2025-02-01,354320,2025-02-19,,Halo (2)
bulbaba,https://open.spotify.com/track/7xdiiqtQPUXrKcd6BoFyYd,tripq,https://open.spotify.com/album/6ZO1hIeCfQ8neaKn3bPhyr,"Azahriah, DESH","https://open.spotify.com/artist/6EIriUxo7vznEgJtTDlXpq, https://open.spotify.com/artist/4dqqy9z09htrVsRiJpoQmw",2024-12-23,125825,2025-02-19,,Halo (2)
casa de papel,https://open.spotify.com/track/3UlXaigjBM3sHyOpDbh1RI,memento,https://open.spotify.com/album/2mtBBnbkj7HMywF5FAtERT,Azahriah,https://open.spotify.com/artist/6EIriUxo7vznEgJtTDlXpq,2024-10-17,160000,2025-02-19,,Halo (2)
CHOCO MOMMY,https://open.spotify.com/track/2V5x33qFjc72hmrrtG6ujv,BAKPAKK,https://open.spotify.com/album/0rxSEyr7JxVRxuUMtZ5eRT,"DESH, Young Fly","https://open.spotify.com/artist/4dqqy9z09htrVsRiJpoQmw, https://open.spotify.com/artist/0zmW213tzA7NFv6ESRso7N",2024-10-17,113046,2025-02-19,,Halo (2)
Count Me Out,https://open.spotify.com/track/6BU1RZexmvJcBjgagVVt3M,Mr. Morale & The Big Steppers,https://open.spotify.com/album/79ONNoS4M9tfIA1mYLBYVX,Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2025-02-13,283642,2025-02-19,,Halo (2)
Csirió,https://open.spotify.com/track/0jJVsraMUoXKk8SCiE5fQz,AZ ALBUM,https://open.spotify.com/album/3TqmUOKPmFUO7Dg3VDgEXN,"T. Danny, KKevin","https://open.spotify.com/artist/3RDALl5RyRDHPryF1uyWwG, https://open.spotify.com/artist/2O9w0WQhGtr7oQWG6nUqh5",2024-10-17,148800,2025-02-19,,Halo (2)
CSÓKKIRÁLY,https://open.spotify.com/track/5MMKAHHmZKn0IFUNDMSmEz,CSÓKKIRÁLY,https://open.spotify.com/album/2ADDMNZHEq4uhKngvB48RT,T. Danny,https://open.spotify.com/artist/3RDALl5RyRDHPryF1uyWwG,2025-01-28,160437,2025-02-19,,Halo (2)
Deshperado,https://open.spotify.com/track/0KDquHBHmFbvmDhkyozMUW,DESHPERADO,https://open.spotify.com/album/1hbbYNHuiBJ77XlDvk4Syy,DESH,https://open.spotify.com/artist/4dqqy9z09htrVsRiJpoQmw,2024-11-29,184736,2025-02-19,,Halo (2)
