track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Be My Baby,https://open.spotify.com/track/2G2YzndIA6jeWFPBXhUjh5,Be My Baby: The Very Best of The Ronettes,https://open.spotify.com/album/3vLFWR3fLqfY82WGvaLuyV,The Ronettes,https://open.spotify.com/artist/7CyeXFnOrfC1N6z4naIpgo,2013-06-27,160906,2021-12-21,,1963
Blame It On The Bossa Nova,https://open.spotify.com/track/2Y6btCoxL2RThLo9G77ORZ,The Hits of Steve Lawrence & Eydie Gorme,https://open.spotify.com/album/3zVKm13HhCJa8QoOqFHrwF,Eydie Gormé,https://open.spotify.com/artist/6HnHBbeScFiQKXt3sUQA3Z,2013-06-27,152331,2021-12-21,,1963
Blowin' in the Wind - 2004 Remaster,https://open.spotify.com/track/0XIe81wYNtdvIttRAUEau4,"The Very Best of Peter, Paul and Mary",https://open.spotify.com/album/14Qo0TZ3M82PC4EFTt39X0,"Peter, Paul and Mary",https://open.spotify.com/artist/6yrBBtqX2gKCHCrZOYBDrB,2013-06-27,176693,2021-12-21,,1963
Blue Velvet,https://open.spotify.com/track/4QelFzhVgLomeQhvKrwM1S,The Best Of Bobby Vinton,https://open.spotify.com/album/4qK4QZUSp8QdoMEm9mrzyA,Bobby Vinton,https://open.spotify.com/artist/6bOYtKnpLPQSfMpS2ilotK,2013-06-27,168093,2021-12-21,,1963
Can't Get Used to Losing You - Single Version,https://open.spotify.com/track/41zpWL98BsYKP5nvtdTM5z,Andy Williams' Greatest Hits,https://open.spotify.com/album/6rSeq7ZSO8FPYZmOrnJ7VC,Andy Williams,https://open.spotify.com/artist/4sj6D0zlMOl25nprDJBiU9,2013-06-27,142000,2021-12-21,,1963
Candy Girl,https://open.spotify.com/track/4AFLFG6pyvhBLC37FbDwc2,The Very Best of Frankie Valli & The 4 Seasons,https://open.spotify.com/album/0NUEQILaBzavnzcMEs4buZ,Frankie Valli & The Four Seasons,https://open.spotify.com/artist/6mcrZQmgzFGRWf7C0SObou,2013-06-27,157800,2021-12-21,,1963
Days Of Wine And Roses - REMASTERED,https://open.spotify.com/track/2sWRC12vYVTHjdTD2WOE4v,Greatest Hits - The Best of Henry Mancini,https://open.spotify.com/album/1qUmcNnG6GBGXw9tLCTJ3V,Henry Mancini,https://open.spotify.com/artist/2EExdpjU4SK3xnJHO5paJf,2013-06-27,126933,2021-12-21,,1963
Deep Purple (Rerecorded),https://open.spotify.com/track/26SpVTazBNaVINTPs2nZyO,#1 Hits of the 60's,https://open.spotify.com/album/6Mio3JCszE0BTyjTmfYsLY,Nino Tempo & April Stevens,https://open.spotify.com/artist/5s1WKkWyMzhGnLZ0ClgyTN,2013-06-27,162240,2021-12-21,,1963
Denise,https://open.spotify.com/track/6U3tAcCZOka8wRhf6gM614,Doo Wop,https://open.spotify.com/album/13WDIlHTxcb9exAkjUQ99f,Randy & The Rainbows,https://open.spotify.com/artist/2V0ryJRGIdudWKl27c806m,2013-06-27,123480,2021-12-21,,1963
Easier Said Than Done,https://open.spotify.com/track/5KwUdGcezcmz9sTFDRhpMf,Classic Doo Wop Girl Groups,https://open.spotify.com/album/4AGorSE5ODwSrfyFA8Mfnr,The Essex,https://open.spotify.com/artist/1MRFkxDxTMqNTZJSWgW7VL,2013-06-27,129343,2021-12-21,,1963
Everybody (Rerecorded),https://open.spotify.com/track/5dO8tr2qrOxCpEE6jcMzL4,100 Hits of the Swingin' Sixties,https://open.spotify.com/album/36QisDW5zB4phHrXOzE60V,Tommy Roe,https://open.spotify.com/artist/7t4XHvWfj0XtEB8SNFeALw,2013-06-27,192146,2021-12-21,,1963
Fingertips,https://open.spotify.com/track/1NYQcypyj0Useb8xyw3I4E,Number 1's,https://open.spotify.com/album/5x7vXXWapy8cUmdSuwpUy1,Stevie Wonder,https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi,2013-06-27,190426,2021-12-21,,1963
He S So Fine,https://open.spotify.com/track/77xQrTgMu6L69HjTcY00oD,Rock N Roll Diner Volume 4,https://open.spotify.com/album/18QFxgr08FU0agOpIvhdKs,The Chiffons,https://open.spotify.com/artist/05sIdEkXAYDbDDdv3T56Oj,2013-06-27,113680,2021-12-21,,1963
Heat Wave - Stereo Mix with Fade,https://open.spotify.com/track/0pT9VUx865jXgPT9Dh26cI,Motown: The Complete No. 1's,https://open.spotify.com/album/0iv3gV69jA1YY2H0UTy9yF,Martha Reeves & The Vandellas,https://open.spotify.com/artist/1Pe5hlKMCTULjosqZ6KanP,2013-06-27,183840,2021-12-21,,1963
Hello Stranger,https://open.spotify.com/track/5JwG6Rn59Ype0DBKGdk0o2,K-tel Classics,https://open.spotify.com/album/69o0aD5JujCAdMRDHuJNLo,Barbara Lewis,https://open.spotify.com/artist/2UocIcNiHj5n4tj1CnBzRq,2013-06-27,159280,2021-12-21,,1963
Hey Paula - Re-Recording,https://open.spotify.com/track/39gvhionjcw3DDynncAtXu,I Love The 60's - 1962,https://open.spotify.com/album/4607BXNuUXOWmrCNUHgaVf,Paul & Paula,https://open.spotify.com/artist/2pycVt1qR9u8bKdb4oLI98,2013-06-27,146986,2021-12-21,,1963
I Can't Stay Mad at You (Rerecorded),https://open.spotify.com/track/3UIQwJPuSKNJY2VSGnwv2a,60's Rock 'N' Roll - It's My Party,https://open.spotify.com/album/5NMfT7IQx9SuKlDd9p0lon,Skeeter Davis,https://open.spotify.com/artist/5b2OzvLaL6nyxw5pbVbSdy,2013-06-27,129106,2021-12-21,,1963
I Love You Because,https://open.spotify.com/track/4xQfTDewWaXXCMXlwugeGh,The Very Best Of Al Martino,https://open.spotify.com/album/75kTa0eZdoHREIwG7aAX0p,Al Martino,https://open.spotify.com/artist/7egNqIGRldMzifHoh8pib6,2013-06-27,163226,2021-12-21,,1963
I Will Follow Him,https://open.spotify.com/track/1mspRB1JIDtaMPXewN8XOs,I Will Follow Him,https://open.spotify.com/album/0wPcTchjoE6Oq5Wj3ojpE4,Little Peggy March,https://open.spotify.com/artist/09vvlnqwFaimZwGAvpXgqy,2013-06-27,151933,2021-12-21,,1963
I'm Leaving It up to You (Rerecorded),https://open.spotify.com/track/6MdsbSkB4YH5WjSkJjgT04,#1 Hits of the 60's,https://open.spotify.com/album/6Mio3JCszE0BTyjTmfYsLY,Dale & Grace,https://open.spotify.com/artist/4pm3g02BZ11lBvSCuomYaW,2013-06-27,139013,2021-12-21,,1963
If I Had A Hammer,https://open.spotify.com/track/3VPTLCJ5lWiLEgZjMXkxGc,Trini Lopez - If I Had A Hammer,https://open.spotify.com/album/5PNUGodaJMgcfUqOdEstTf,Trini Lopez,https://open.spotify.com/artist/5FlTKgucbhHvlJVf0pnvOv,2013-06-27,178400,2021-12-21,,1963
