track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(Festival) Da Da,https://open.spotify.com/track/6oIwnhbHiPt6v7MCWGQoac,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,Junior Byles,https://open.spotify.com/artist/5J6lHDYy53GyksfcJyHadC,2013-06-04,210213,2021-12-21,,LSP
A Place Called Africa,https://open.spotify.com/track/0coLis0ezwXMKM3bt54Sz1,The Complete UK Upsetter Singles Collection - Volume 3,https://open.spotify.com/album/4UrmL4winJBNYUqmz6RuLf,Junior Byles,https://open.spotify.com/artist/5J6lHDYy53GyksfcJyHadC,2013-06-04,160480,2021-12-21,,LSP
A Testimony,https://open.spotify.com/track/7cCZ0VIjE3TYfjk0oIhX2z,The Complete UK Upsetter Singles Collection Volume 1,https://open.spotify.com/album/79AJxMUxuoQZeqekjHQmtQ,The Upsetter Pilgrims,https://open.spotify.com/artist/0YquprWJUUICvgLc6fY1SU,2013-06-04,187626,2021-12-21,,LSP
Africa Stand,https://open.spotify.com/track/7qon4JAtaubMuoXvUTPdDA,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,Dennis Alcapone,https://open.spotify.com/artist/3Ko5w2NYcaqtAtvDrJMdw5,2013-06-04,170960,2021-12-21,,LSP
African Herbman,https://open.spotify.com/track/0uzXVGmRR4xY4TCcVSDsKo,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,Bob Marley & The Wailers,https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD,2013-06-04,143453,2021-12-21,,LSP
All In One - Medley,https://open.spotify.com/track/4oHZbIybEUEc3nqV3zRvt0,The Complete UK Upsetter Singles Collection - Volume 3,https://open.spotify.com/album/4UrmL4winJBNYUqmz6RuLf,Bob Marley & The Wailers,https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD,2013-06-04,218013,2021-12-21,,LSP
Alpha & Omega,https://open.spotify.com/track/3otSHxxVB39JvXTCk5WnAf,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,Dennis Alcapone,https://open.spotify.com/artist/3Ko5w2NYcaqtAtvDrJMdw5,2013-06-04,179213,2021-12-21,,LSP
Babylon Chapter 5,https://open.spotify.com/track/5oII7B7B6ah4GD4SkTNDHQ,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,The Upsetters,https://open.spotify.com/artist/12CNljuN6DW9e5x61FS03b,2013-06-04,168973,2021-12-21,,LSP
Babylon's Burning,https://open.spotify.com/track/0YiQ537oITcvRfTFatIJIV,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,"Maxie, Niney, Scratch","https://open.spotify.com/artist/1OlJvohos7rgrUX5DPXOj1, https://open.spotify.com/artist/5Q4ixwdKI9GiCVbxicAseE, https://open.spotify.com/artist/7BzC9UlHaJyFmTCTlEfJ0t",2013-06-04,142360,2021-12-21,,LSP
Back Biter,https://open.spotify.com/track/6CdXHQqoPEfEoHH5UlWzpa,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,"Lee ""Scratch"" Perry, Dennis Alcapone","https://open.spotify.com/artist/1TsG4AumsMt1Tcq2nHpov9, https://open.spotify.com/artist/3Ko5w2NYcaqtAtvDrJMdw5",2013-06-04,172506,2021-12-21,,LSP
Back Biter - Alternate Version,https://open.spotify.com/track/5qoLtZ7tQcfe6IA2q14Auu,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,"Dennis Alcapone, The Upsetters, Lee ""Scratch"" Perry","https://open.spotify.com/artist/3Ko5w2NYcaqtAtvDrJMdw5, https://open.spotify.com/artist/12CNljuN6DW9e5x61FS03b, https://open.spotify.com/artist/1TsG4AumsMt1Tcq2nHpov9",2013-06-04,166120,2021-12-21,,LSP
Badam Bam,https://open.spotify.com/track/7LuPnn14E78eP07oLzqRvy,The Complete UK Upsetter Singles Collection Volume 1,https://open.spotify.com/album/79AJxMUxuoQZeqekjHQmtQ,The Ravers,https://open.spotify.com/artist/02PAU7MyxvwRGvgP1DjGG3,2013-06-04,176240,2021-12-21,,LSP
Beat Down Babylon (King Alpha),https://open.spotify.com/track/0Mx1YwPg3WpnTaYyhTO7l5,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,"Junior Byles, The Upsetters","https://open.spotify.com/artist/5J6lHDYy53GyksfcJyHadC, https://open.spotify.com/artist/12CNljuN6DW9e5x61FS03b",2013-06-04,153826,2021-12-21,,LSP
Bet You Don't Know,https://open.spotify.com/track/4WPwhJfhU7uv6vCrgA1wyy,The Complete UK Upsetter Singles Collection - Volume 4,https://open.spotify.com/album/7eOeWWpvrnLJvNBWteAyZP,"Shenley Duffus, Soul Avengers","https://open.spotify.com/artist/4UYFwrrPoDKmOWMNriyh9Q, https://open.spotify.com/artist/1S4TdafoEJjcCr9sdhf5XC",2013-06-04,167920,2021-12-21,,LSP
